gene_id,pfam,length,sequence_id,strand,alignment_length,evalue,bit_score,identity,query_start,query_end,subject_start,subject_end,coverage,some_ratio,gaps,mismatches,q_len,s_len,frame,alignment_identity,score,category,description_1,description_2,description_3
XLF_CC,PF21928.2,53,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,6.3,7.3,5.6,1,3,0.029,44,4.5,0.1,9,36,103,130,102,137,0.90,XLF,protein,coiled-coil,region
XLF_CC,PF21928.2,53,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,6.3,7.3,5.6,2,3,1.7,2.5e+03,-1.1,0.0,30,48,219,237,217,242,0.80,XLF,protein,coiled-coil,region
XLF_CC,PF21928.2,53,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,6.3,7.3,5.6,3,3,0.14,2.1e+02,2.4,1.5,17,34,608,625,606,627,0.88,XLF,protein,coiled-coil,region
Sos7,PF20882.3,75,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,7.7,7.2,7.3,1,2,0.34,5.1e+02,1.4,0.7,35,65,110,140,104,147,0.85,Kinetochore,protein,Sos7,
Sos7,PF20882.3,75,PP871875_NA_astro-vt-157_Sus-scrofa-(wild-boar)_2015,-,668,7.7,7.2,7.3,2,2,0.0022,3.3,8.4,0.9,26,58,600,630,597,634,0.86,Kinetochore,protein,Sos7,
Astro_1A,PF19415.4,244,PP871870_NA_astro-vt-152_Sus-scrofa-domesticus_2014,-,488,3.1e-15,57.0,6.4,1,1,1.4e-18,5.9e-15,56.1,6.4,73,243,258,427,246,428,0.92,Astrovirus,transmembrane,protein,1A
Astro_p19,PF19414.4,174,PP871870_NA_astro-vt-152_Sus-scrofa-domesticus_2014,-,488,0.0014,18.6,0.0,1,1,6.4e-07,0.0027,17.6,0.0,8,157,6,150,2,168,0.68,Astrovirus,p19,protein,
SLATT_5,PF18160.7,190,PP871870_NA_astro-vt-152_Sus-scrofa-domesticus_2014,-,488,0.0018,18.2,0.0,1,1,1.2e-06,0.005,16.7,0.0,70,122,151,202,134,215,0.85,SMODS,and,SLOG-associating,2TM
Myc_N,PF01056.24,341,PP871870_NA_astro-vt-152_Sus-scrofa-domesticus_2014,-,488,0.16,12.2,0.0,1,1,5.7e-05,0.24,11.6,0.0,57,103,56,101,51,111,0.81,Myc,amino-terminal,region,
ERGIC_N,PF13850.12,91,PP871870_NA_astro-vt-152_Sus-scrofa-domesticus_2014,-,488,0.19,12.4,0.0,1,1,0.00017,0.71,10.6,0.0,18,67,141,191,133,197,0.83,Endoplasmic,Reticulum-Golgi,Intermediate,Compartment
DUF3377,PF11857.14,72,PP871870_NA_astro-vt-152_Sus-scrofa-domesticus_2014,-,488,0.41,11.1,2.0,1,2,0.13,5.5e+02,1.1,0.0,36,64,153,181,152,184,0.83,Domain,of,unknown,function
DUF3377,PF11857.14,72,PP871870_NA_astro-vt-152_Sus-scrofa-domesticus_2014,-,488,0.41,11.1,2.0,2,2,0.0012,5.2,7.6,0.9,26,55,247,277,240,283,0.77,Domain,of,unknown,function
Trypsin_2,PF13365.13,145,PP871863_NA_astro-vt-145_Sus-scrofa-domesticus_2014,-,535,8.3e-12,46.6,0.1,1,1,3.7e-15,2.3e-11,45.1,0.1,1,142,418,535,418,535,0.87,Trypsin-like,peptidase,domain,
Astro_1A,PF19415.4,244,PP871863_NA_astro-vt-145_Sus-scrofa-domesticus_2014,-,535,5e-05,23.6,5.6,1,1,1.5e-08,9.7e-05,22.7,5.6,73,228,219,374,206,389,0.84,Astrovirus,transmembrane,protein,1A
Trypsin,PF00089.33,220,PP871863_NA_astro-vt-145_Sus-scrofa-domesticus_2014,-,535,0.12,12.7,0.2,1,1,4.8e-05,0.31,11.3,0.2,26,99,417,472,404,486,0.66,Trypsin,,,
LiaF-TM,PF22570.2,98,PP871863_NA_astro-vt-145_Sus-scrofa-domesticus_2014,-,535,8.3,7.8,10.1,1,3,0.039,2.5e+02,3.0,0.0,25,70,134,175,120,183,0.54,LiaF,transmembrane,domain,
LiaF-TM,PF22570.2,98,PP871863_NA_astro-vt-145_Sus-scrofa-domesticus_2014,-,535,8.3,7.8,10.1,2,3,0.0015,9.7,7.6,1.2,26,77,216,266,209,280,0.77,LiaF,transmembrane,domain,
LiaF-TM,PF22570.2,98,PP871863_NA_astro-vt-145_Sus-scrofa-domesticus_2014,-,535,8.3,7.8,10.1,3,3,0.17,1.1e+03,1.0,0.3,69,92,324,347,315,350,0.80,LiaF,transmembrane,domain,
Astro_capsid_N,PF03115.21,249,PQ220258_NA_ASTV-4_Anser-indicus-(Bar-headed-goose)_2020,-,538,1.1e-71,241.6,3.9,1,1,2.9e-75,1.9e-71,240.9,3.9,2,249,13,257,12,257,0.94,Astrovirus,capsid,protein,nucleoplasmin-like
Astro_capsid_p2,PF16580.12,245,PQ220258_NA_ASTV-4_Anser-indicus-(Bar-headed-goose)_2020,-,538,9.6e-18,65.0,1.1,1,2,0.1,6.7e+02,0.0,0.0,14,71,68,130,61,150,0.70,C-terminal,tail,of,astrovirus
Astro_capsid_p2,PF16580.12,245,PQ220258_NA_ASTV-4_Anser-indicus-(Bar-headed-goose)_2020,-,538,9.6e-18,65.0,1.1,2,2,8.1e-21,5.2e-17,62.6,0.7,1,102,424,525,424,534,0.97,C-terminal,tail,of,astrovirus
SP2_M,PF20751.3,141,PQ220258_NA_ASTV-4_Anser-indicus-(Bar-headed-goose)_2020,-,538,4e-05,24.2,0.2,1,2,0.39,2.5e+03,-1.1,0.0,16,76,61,120,50,159,0.66,Structural,protein,2,second
SP2_M,PF20751.3,141,PQ220258_NA_ASTV-4_Anser-indicus-(Bar-headed-goose)_2020,-,538,4e-05,24.2,0.2,2,2,4.1e-08,0.00026,21.6,0.1,9,133,270,397,264,404,0.78,Structural,protein,2,second
Yopt,PF09467.16,71,PQ220258_NA_ASTV-4_Anser-indicus-(Bar-headed-goose)_2020,-,538,0.079,13.5,0.4,1,2,0.0011,6.9,7.3,0.0,15,37,63,85,58,95,0.84,Hypothetical,protein,Yopt,
Yopt,PF09467.16,71,PQ220258_NA_ASTV-4_Anser-indicus-(Bar-headed-goose)_2020,-,538,0.079,13.5,0.4,2,2,0.022,1.4e+02,3.1,0.1,6,22,270,286,265,295,0.84,Hypothetical,protein,Yopt,
Astro_VPg,PF19416.5,104,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,6.6e-10,40.3,1.7,1,1,5.1e-13,1.3e-09,39.3,1.7,4,90,630,707,622,717,0.71,Astrovirus,VPg,protein,
Trypsin_2,PF13365.13,145,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,9.2e-10,39.9,0.4,1,2,7.5,1.9e+04,-3.3,0.0,91,109,363,381,334,411,0.56,Trypsin-like,peptidase,domain,
Trypsin_2,PF13365.13,145,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,9.2e-10,39.9,0.4,2,2,1.1e-12,2.9e-09,38.3,0.3,1,145,425,545,425,545,0.80,Trypsin-like,peptidase,domain,
Astro_1A,PF19415.4,244,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,3.9e-05,24.0,5.3,1,1,2.4e-08,6.2e-05,23.3,5.3,72,243,225,395,206,396,0.79,Astrovirus,transmembrane,protein,1A
Peptidase_S32,PF05579.20,297,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,0.0004,20.2,0.5,1,1,3.1e-07,0.00078,19.2,0.5,125,236,432,558,409,565,0.69,Equine,arteritis,virus,serine
Peptidase_C3,PF00548.27,166,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,0.049,14.1,0.0,1,1,5.4e-05,0.14,12.6,0.0,129,166,513,551,488,551,0.87,3C,cysteine,protease,(picornain
DUF4140,PF13600.12,99,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,0.052,14.5,1.2,1,2,0.99,2.5e+03,-0.6,0.3,60,89,107,136,87,141,0.64,N-terminal,domain,of,unknown
DUF4140,PF13600.12,99,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,0.052,14.5,1.2,2,2,6.5e-05,0.17,12.9,0.0,44,94,553,600,545,605,0.86,N-terminal,domain,of,unknown
Pox_A_type_inc,PF04508.18,23,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,0.11,12.9,0.3,1,3,4.4,1.1e+04,-3.0,0.2,11,14,116,119,112,124,0.47,Viral,A-type,inclusion,protein
Pox_A_type_inc,PF04508.18,23,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,0.11,12.9,0.3,2,3,4.2e-05,0.11,12.9,0.3,4,20,575,591,575,594,0.90,Viral,A-type,inclusion,protein
Pox_A_type_inc,PF04508.18,23,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,0.11,12.9,0.3,3,3,0.54,1.4e+03,-0.1,0.8,1,10,611,620,611,621,0.93,Viral,A-type,inclusion,protein
AROS,PF15684.11,129,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,0.17,13.0,3.8,1,1,0.00013,0.32,12.1,3.8,51,124,578,662,569,665,0.67,Active,regulator,of,"SIRT1,"
Nop5_56-rel_N_Arc,PF21572.3,128,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,0.18,12.6,0.0,1,2,0.031,79,4.1,0.0,9,44,495,530,490,537,0.86,Archaeal,"Nop5/56-rel,",N-terminal,domain
Nop5_56-rel_N_Arc,PF21572.3,128,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,0.18,12.6,0.0,2,2,0.0096,25,5.7,0.0,12,42,654,684,651,692,0.85,Archaeal,"Nop5/56-rel,",N-terminal,domain
Mto2_bdg,PF12808.13,52,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,1.1,10.1,9.3,1,2,0.0001,0.26,12.1,4.2,23,50,107,134,102,136,0.87,Micro-tubular,organiser,Mto1,C-term
Mto2_bdg,PF12808.13,52,PQ062282_NA_GS-DX-12-2023_goat_2023,-,814,1.1,10.1,9.3,2,2,0.83,2.1e+03,-0.4,0.2,33,44,576,587,571,594,0.63,Micro-tubular,organiser,Mto1,C-term
Trypsin_2,PF13365.13,145,PP590744_NA_MRL-L_Muraenolepis-sp-_2021,-,1126,0.0059,17.8,0.4,1,1,4.3e-06,0.018,16.3,0.3,117,145,652,680,551,680,0.72,Trypsin-like,peptidase,domain,
Astro_VPg,PF19416.5,104,PP590744_NA_MRL-L_Muraenolepis-sp-_2021,-,1126,0.031,15.6,1.7,1,1,2e-05,0.085,14.2,1.7,32,91,774,835,759,845,0.74,Astrovirus,VPg,protein,
Mycop_pep_DUF31,PF01732.23,346,PP590744_NA_MRL-L_Muraenolepis-sp-_2021,-,1126,0.032,14.4,0.3,1,1,1.4e-05,0.061,13.5,0.3,322,345,659,682,638,683,0.89,Mycoplasma,peptidase,(DUF31),
Peptidase_C3,PF00548.27,166,PP590744_NA_MRL-L_Muraenolepis-sp-_2021,-,1126,0.073,13.5,0.9,1,1,4.1e-05,0.17,12.3,0.9,140,166,659,686,654,686,0.92,3C,cysteine,protease,(picornain
Peptidase_S32,PF05579.20,297,PP590744_NA_MRL-L_Muraenolepis-sp-_2021,-,1126,0.13,11.9,0.7,1,1,5.7e-05,0.24,11.0,0.7,206,230,662,686,645,699,0.82,Equine,arteritis,virus,serine
Peptidase_S7,PF00949.28,131,PP590744_NA_MRL-L_Muraenolepis-sp-_2021,-,1126,1.1,9.7,5.9,1,3,2.7,1.2e+04,-3.4,0.6,11,56,41,85,36,91,0.52,Peptidase,"S7,",Flavivirus,NS3
Peptidase_S7,PF00949.28,131,PP590744_NA_MRL-L_Muraenolepis-sp-_2021,-,1126,1.1,9.7,5.9,2,3,0.58,2.5e+03,-1.2,0.0,12,42,540,570,531,578,0.80,Peptidase,"S7,",Flavivirus,NS3
Peptidase_S7,PF00949.28,131,PP590744_NA_MRL-L_Muraenolepis-sp-_2021,-,1126,1.1,9.7,5.9,3,3,5.5e-05,0.23,11.8,0.4,94,120,662,688,652,692,0.89,Peptidase,"S7,",Flavivirus,NS3
Trypsin_2,PF13365.13,145,OR613354_NA_MSCZC1516-47_Miniopterus-schreibersii_2015,-,685,2.6e-10,41.7,0.3,1,1,1.8e-13,6.7e-10,40.4,0.3,1,145,436,555,434,555,0.85,Trypsin-like,peptidase,domain,
Peptidase_S32,PF05579.20,297,OR613354_NA_MSCZC1516-47_Miniopterus-schreibersii_2015,-,685,1.9e-06,27.8,1.2,1,1,2.2e-09,7.9e-06,25.8,1.2,108,247,428,583,424,635,0.64,Equine,arteritis,virus,serine
Peptidase_S29,PF02907.22,149,OR613354_NA_MSCZC1516-47_Miniopterus-schreibersii_2015,-,685,0.0079,16.5,0.3,1,2,2.9,1.1e+04,-3.5,0.0,34,57,326,349,301,358,0.69,Hepatitis,C,virus,NS3
Peptidase_S29,PF02907.22,149,OR613354_NA_MSCZC1516-47_Miniopterus-schreibersii_2015,-,685,0.0079,16.5,0.3,2,2,5.3e-06,0.019,15.2,0.1,42,127,469,558,435,574,0.80,Hepatitis,C,virus,NS3
PFK,PF00365.26,278,OR613354_NA_MSCZC1516-47_Miniopterus-schreibersii_2015,-,685,0.029,14.2,0.2,1,1,1.3e-05,0.047,13.5,0.2,149,224,530,607,513,642,0.66,Phosphofructokinase,,,
TssO,PF17561.8,148,OR613354_NA_MSCZC1516-47_Miniopterus-schreibersii_2015,-,685,0.06,13.7,0.1,1,1,3.5e-05,0.13,12.7,0.1,22,102,561,647,552,651,0.68,Type,VI,secretion,"system,"
SPAM,PF02090.22,142,OR613354_NA_MSCZC1516-47_Miniopterus-schreibersii_2015,-,685,1.8,8.9,11.0,1,2,0.0014,5.3,7.4,2.2,31,71,103,143,97,149,0.93,Salmonella,surface,presentation,of
SPAM,PF02090.22,142,OR613354_NA_MSCZC1516-47_Miniopterus-schreibersii_2015,-,685,1.8,8.9,11.0,2,2,0.0032,12,6.3,1.6,18,86,578,645,575,675,0.85,Salmonella,surface,presentation,of
BRE1B,PF26052.1,151,OR613354_NA_MSCZC1516-47_Miniopterus-schreibersii_2015,-,685,6.7,7.0,11.7,1,2,0.0053,19,5.5,0.9,58,87,105,134,91,149,0.70,BRE1B-like,domain,,
BRE1B,PF26052.1,151,OR613354_NA_MSCZC1516-47_Miniopterus-schreibersii_2015,-,685,6.7,7.0,11.7,2,2,0.0038,14,6.0,3.9,29,93,582,648,578,659,0.78,BRE1B-like,domain,,
Trypsin_2,PF13365.13,145,OR613326_NA_RPGXC15-17-372_Rhinolophus-pearsonii_2016,-,514,1.5e-10,42.5,0.5,1,1,1.6e-13,4.2e-10,41.0,0.5,1,145,125,244,125,244,0.87,Trypsin-like,peptidase,domain,
Astro_VPg,PF19416.5,104,OR613326_NA_RPGXC15-17-372_Rhinolophus-pearsonii_2016,-,514,5.2e-05,24.6,5.7,1,1,5.3e-08,0.00013,23.2,5.7,3,87,336,408,334,434,0.70,Astrovirus,VPg,protein,
Astro_1A,PF19415.4,244,OR613326_NA_RPGXC15-17-372_Rhinolophus-pearsonii_2016,-,514,0.00043,20.5,0.1,1,1,2.5e-07,0.00064,20.0,0.1,157,226,10,78,1,101,0.78,Astrovirus,transmembrane,protein,1A
Peptidase_S29,PF02907.22,149,OR613326_NA_RPGXC15-17-372_Rhinolophus-pearsonii_2016,-,514,0.00084,19.6,0.0,1,1,5.8e-07,0.0015,18.8,0.0,18,127,129,247,115,259,0.75,Hepatitis,C,virus,NS3
AAA_9,PF12781.14,222,OR613326_NA_RPGXC15-17-372_Rhinolophus-pearsonii_2016,-,514,0.0049,16.5,1.5,1,2,0.002,5.1,6.6,0.5,165,206,359,400,353,402,0.87,ATP-binding,dynein,motor,region
AAA_9,PF12781.14,222,OR613326_NA_RPGXC15-17-372_Rhinolophus-pearsonii_2016,-,514,0.0049,16.5,1.5,2,2,0.00056,1.4,8.4,0.0,127,195,448,511,441,514,0.77,ATP-binding,dynein,motor,region
Peptidase_C3,PF00548.27,166,OR613326_NA_RPGXC15-17-372_Rhinolophus-pearsonii_2016,-,514,0.0085,16.5,0.2,1,1,6.5e-06,0.016,15.6,0.2,122,166,204,250,187,250,0.78,3C,cysteine,protease,(picornain
Peptidase_S32,PF05579.20,297,OR613326_NA_RPGXC15-17-372_Rhinolophus-pearsonii_2016,-,514,0.049,13.3,7.3,1,1,0.00018,0.45,10.2,7.4,88,235,92,256,84,264,0.59,Equine,arteritis,virus,serine
DUF4106,PF13388.11,431,OR613326_NA_RPGXC15-17-372_Rhinolophus-pearsonii_2016,-,514,0.21,11.3,1.6,1,1,0.00012,0.31,10.7,1.6,262,328,380,449,359,482,0.71,Protein,of,unknown,function
GlutR_dimer,PF00745.26,99,OR613326_NA_RPGXC15-17-372_Rhinolophus-pearsonii_2016,-,514,0.27,12.1,1.5,1,2,6.8,1.7e+04,-3.4,0.2,39,50,267,279,263,285,0.59,Glutamyl-tRNAGlu,"reductase,",dimerisation,domain
GlutR_dimer,PF00745.26,99,OR613326_NA_RPGXC15-17-372_Rhinolophus-pearsonii_2016,-,514,0.27,12.1,1.5,2,2,0.00015,0.37,11.6,0.1,31,81,355,401,351,415,0.83,Glutamyl-tRNAGlu,"reductase,",dimerisation,domain
Dsc3_C,PF13373.12,145,OR613326_NA_RPGXC15-17-372_Rhinolophus-pearsonii_2016,-,514,0.32,11.7,1.4,1,2,0.55,1.4e+03,-0.1,0.0,13,37,266,290,263,354,0.84,DSC,E3,ubiquitin,ligase
Dsc3_C,PF13373.12,145,OR613326_NA_RPGXC15-17-372_Rhinolophus-pearsonii_2016,-,514,0.32,11.7,1.4,2,2,0.00059,1.5,9.5,0.8,3,68,365,436,363,485,0.74,DSC,E3,ubiquitin,ligase
Peptidase_S32,PF05579.20,297,OR270072_NA_MAR-S_Retropinna-retropinna_2021,-,1270,7.1e-05,22.6,0.6,1,1,5.4e-08,0.00017,21.4,0.6,126,230,606,722,595,734,0.68,Equine,arteritis,virus,serine
Astro_VPg,PF19416.5,104,OR270072_NA_MAR-S_Retropinna-retropinna_2021,-,1270,0.0014,20.0,0.9,1,1,1.6e-06,0.0052,18.1,0.9,6,96,859,942,850,947,0.65,Astrovirus,VPg,protein,
Takusan,PF04822.19,85,OR270072_NA_MAR-S_Retropinna-retropinna_2021,-,1270,0.0044,17.4,3.6,1,1,5.6e-06,0.018,15.4,3.6,12,64,980,1033,976,1055,0.90,Takusan,,,
Trypsin_2,PF13365.13,145,OR270072_NA_MAR-S_Retropinna-retropinna_2021,-,1270,0.037,15.2,2.5,1,1,0.00016,0.51,11.6,2.5,112,145,683,716,598,716,0.76,Trypsin-like,peptidase,domain,
Rhodanese_C,PF12368.14,66,OR270072_NA_MAR-S_Retropinna-retropinna_2021,-,1270,0.46,11.3,5.4,1,2,8,2.6e+04,-3.9,0.1,8,26,903,921,903,933,0.70,Rhodanase,C-terminal,,
Rhodanese_C,PF12368.14,66,OR270072_NA_MAR-S_Retropinna-retropinna_2021,-,1270,0.46,11.3,5.4,2,2,3.9e-05,0.13,13.1,1.5,19,57,1181,1222,1171,1228,0.83,Rhodanase,C-terminal,,
Trypsin,PF00089.33,220,OR270072_NA_MAR-S_Retropinna-retropinna_2021,-,1270,0.56,10.5,3.3,1,2,1.1,3.6e+03,-2.0,0.0,37,65,607,636,600,651,0.71,Trypsin,,,
Trypsin,PF00089.33,220,OR270072_NA_MAR-S_Retropinna-retropinna_2021,-,1270,0.56,10.5,3.3,2,2,0.00038,1.2,9.4,1.5,160,198,686,720,658,726,0.77,Trypsin,,,
Cript,PF10235.15,90,OR270072_NA_MAR-S_Retropinna-retropinna_2021,-,1270,1.8,9.8,4.6,1,2,2.9,9.1e+03,-2.1,0.1,7,42,734,777,729,784,0.65,Microtubule-associated,protein,CRIPT,
Cript,PF10235.15,90,OR270072_NA_MAR-S_Retropinna-retropinna_2021,-,1270,1.8,9.8,4.6,2,2,0.00029,0.93,10.7,1.0,25,81,1163,1223,1142,1230,0.77,Microtubule-associated,protein,CRIPT,
TPR_MLP1_2,PF07926.18,129,OR270072_NA_MAR-S_Retropinna-retropinna_2021,-,1270,2.6,8.6,11.2,1,2,0.00019,0.6,10.6,5.9,63,124,948,1013,943,1014,0.87,TPR/MLP1/MLP2-like,protein,,
TPR_MLP1_2,PF07926.18,129,OR270072_NA_MAR-S_Retropinna-retropinna_2021,-,1270,2.6,8.6,11.2,2,2,2.9,9.4e+03,-2.9,0.0,73,90,1127,1144,1119,1152,0.44,TPR/MLP1/MLP2-like,protein,,
Astro_1A,PF19415.4,244,OP594725_NA_NA_Homo-sapiens_2020,-,887,4e-14,53.4,13.1,1,1,3.2e-17,6.7e-14,52.7,13.1,75,231,261,417,220,436,0.84,Astrovirus,transmembrane,protein,1A
Trypsin_2,PF13365.13,145,OP594725_NA_NA_Homo-sapiens_2020,-,887,1e-11,46.3,0.7,1,1,1.4e-14,3.1e-11,44.7,0.7,1,145,460,580,459,580,0.85,Trypsin-like,peptidase,domain,
Peptidase_S32,PF05579.20,297,OP594725_NA_NA_Homo-sapiens_2020,-,887,2.5e-06,27.4,3.5,1,1,2e-09,4.2e-06,26.7,3.5,90,230,434,586,357,599,0.76,Equine,arteritis,virus,serine
Astro_VPg,PF19416.5,104,OP594725_NA_NA_Homo-sapiens_2020,-,887,2.1e-05,25.8,7.2,1,2,2.7,5.8e+03,-1.3,0.0,41,65,622,646,613,652,0.81,Astrovirus,VPg,protein,
Astro_VPg,PF19416.5,104,OP594725_NA_NA_Homo-sapiens_2020,-,887,2.1e-05,25.8,7.2,2,2,1.3e-08,2.7e-05,25.5,5.1,17,86,659,725,650,737,0.74,Astrovirus,VPg,protein,
Trypsin,PF00089.33,220,OP594725_NA_NA_Homo-sapiens_2020,-,887,0.00049,20.5,3.4,1,2,0.0001,0.22,11.8,0.2,26,57,459,489,446,515,0.73,Trypsin,,,
Trypsin,PF00089.33,220,OP594725_NA_NA_Homo-sapiens_2020,-,887,0.00049,20.5,3.4,2,2,0.00091,1.9,8.7,0.4,138,200,524,586,512,596,0.85,Trypsin,,,
HALZ,PF02183.24,43,OP594725_NA_NA_Homo-sapiens_2020,-,887,0.0009,19.8,2.7,1,2,8.4e-07,0.0018,18.9,0.8,9,42,118,151,117,152,0.91,Homeobox,associated,leucine,zipper
HALZ,PF02183.24,43,OP594725_NA_NA_Homo-sapiens_2020,-,887,0.0009,19.8,2.7,2,2,1.4,3e+03,-1.0,0.0,18,36,796,814,790,815,0.79,Homeobox,associated,leucine,zipper
Peptidase_C3,PF00548.27,166,OP594725_NA_NA_Homo-sapiens_2020,-,887,0.0056,17.2,0.4,1,2,2.6e-06,0.0056,17.2,0.4,126,166,545,586,437,586,0.85,3C,cysteine,protease,(picornain
Peptidase_C3,PF00548.27,166,OP594725_NA_NA_Homo-sapiens_2020,-,887,0.0056,17.2,0.4,2,2,2.1,4.5e+03,-2.1,0.1,34,75,592,636,591,648,0.74,3C,cysteine,protease,(picornain
Peptidase_S7,PF00949.28,131,OP594725_NA_NA_Homo-sapiens_2020,-,887,0.06,13.7,0.2,1,1,7.8e-05,0.17,12.3,0.2,91,118,559,586,547,593,0.86,Peptidase,"S7,",Flavivirus,NS3
Peptidase_S29,PF02907.22,149,OP594725_NA_NA_Homo-sapiens_2020,-,887,0.14,12.4,0.2,1,1,0.00014,0.3,11.3,0.2,5,130,451,586,448,603,0.69,Hepatitis,C,virus,NS3
TetR_C_13,PF16925.11,109,OP594725_NA_NA_Homo-sapiens_2020,-,887,0.15,12.9,0.4,1,2,7.4,1.6e+04,-3.2,0.1,79,96,279,296,277,299,0.87,Tetracyclin,"repressor-like,",C-terminal,domain
TetR_C_13,PF16925.11,109,OP594725_NA_NA_Homo-sapiens_2020,-,887,0.15,12.9,0.4,2,2,0.00023,0.48,11.3,0.0,43,93,800,850,799,861,0.93,Tetracyclin,"repressor-like,",C-terminal,domain
Mycop_pep_DUF31,PF01732.23,346,OP594725_NA_NA_Homo-sapiens_2020,-,887,0.16,12.1,1.3,1,2,9.2e-05,0.2,11.8,0.1,323,345,560,582,552,583,0.87,Mycoplasma,peptidase,(DUF31),
Mycop_pep_DUF31,PF01732.23,346,OP594725_NA_NA_Homo-sapiens_2020,-,887,0.16,12.1,1.3,2,2,1.7,3.5e+03,-2.2,0.2,201,234,691,727,647,785,0.48,Mycoplasma,peptidase,(DUF31),
SLS1_N,PF20776.4,96,OP594725_NA_NA_Homo-sapiens_2020,-,887,5.2,8.2,6.0,1,2,0.00066,1.4,10.0,1.6,26,83,681,745,655,765,0.74,SLS1,protein,N-terminal,domain
SLS1_N,PF20776.4,96,OP594725_NA_NA_Homo-sapiens_2020,-,887,5.2,8.2,6.0,2,2,4.2,9e+03,-2.2,0.2,43,75,805,867,802,875,0.45,SLS1,protein,N-terminal,domain
Astro_capsid_p,PF12226.15,363,ON807353_NA_G22-011_environment_2007,-,784,3.1e-158,527.2,0.4,1,1,1.1e-161,5.5e-158,526.4,0.4,1,360,432,784,432,784,1.00,Turkey,astrovirus,capsid,protein
Astro_capsid_N,PF03115.21,249,ON807353_NA_G22-011_environment_2007,-,784,1.9e-128,427.5,4.8,1,2,3.7e-132,1.9e-128,427.5,4.8,1,249,17,258,17,258,1.00,Astrovirus,capsid,protein,nucleoplasmin-like
Astro_capsid_N,PF03115.21,249,ON807353_NA_G22-011_environment_2007,-,784,1.9e-128,427.5,4.8,2,2,1,5.1e+03,-3.0,0.1,226,249,529,552,519,552,0.75,Astrovirus,capsid,protein,nucleoplasmin-like
SP2_M,PF20751.3,141,ON807353_NA_G22-011_environment_2007,-,784,0.018,15.6,0.0,1,1,8.1e-06,0.041,14.5,0.0,43,114,309,382,292,393,0.74,Structural,protein,2,second
SP2,PF03014.21,205,ON807353_NA_G22-011_environment_2007,-,784,0.02,15.1,0.2,1,1,1.8e-05,0.093,12.9,0.2,25,205,92,258,78,258,0.74,Structural,protein,2,nucleoplasmin-like
CoV_nucleocap,PF00937.24,344,ON807353_NA_G22-011_environment_2007,-,784,0.41,10.2,8.3,1,1,0.00014,0.71,9.4,8.3,126,192,5,77,1,97,0.65,Coronavirus,nucleocapsid,,
Trypsin_2,PF13365.13,145,OP121130_NA_Individual1-2_Myotis-fimbriatus_2020,-,625,6.7e-11,43.6,2.0,1,1,3.8e-14,2e-10,42.1,2.0,1,145,105,224,105,224,0.87,Trypsin-like,peptidase,domain,
Astro_VPg,PF19416.5,104,OP121130_NA_Individual1-2_Myotis-fimbriatus_2020,-,625,3.3e-07,31.6,2.6,1,2,6.4e-11,3.3e-07,31.6,2.6,3,76,339,403,337,437,0.80,Astrovirus,VPg,protein,
Astro_VPg,PF19416.5,104,OP121130_NA_Individual1-2_Myotis-fimbriatus_2020,-,625,3.3e-07,31.6,2.6,2,2,5,2.6e+04,-5.2,1.8,75,99,525,546,516,548,0.52,Astrovirus,VPg,protein,
Peptidase_S29,PF02907.22,149,OP121130_NA_Individual1-2_Myotis-fimbriatus_2020,-,625,0.066,13.4,0.1,1,1,2.5e-05,0.13,12.5,0.1,47,127,142,227,97,238,0.74,Hepatitis,C,virus,NS3
Peptidase_S32,PF05579.20,297,OP121130_NA_Individual1-2_Myotis-fimbriatus_2020,-,625,0.1,12.2,6.4,1,1,0.00019,0.98,9.0,6.4,114,239,100,240,72,252,0.59,Equine,arteritis,virus,serine
Trypsin,PF00089.33,220,OP121130_NA_Individual1-2_Myotis-fimbriatus_2020,-,625,0.21,11.8,2.4,1,1,0.0016,8.2,6.6,2.4,29,111,107,167,91,240,0.67,Trypsin,,,
Astro_VPg,PF19416.5,104,OM451117_NA_ZJ-F1_rabbit_2020,-,1096,1.4e-15,58.6,1.8,1,1,2.6e-18,4.1e-15,57.0,1.8,1,89,848,927,848,941,0.91,Astrovirus,VPg,protein,
