"ID","Version","GenBank.title","Release.date","Organism.name","Virus.Lineage","Species","Family","Length","Submitters","Strain","Isolate_x","Geo.location","Country","Collection.date","Tissue.Specimen.Source","Host","Environmental","CDS.count","Artificial","UNVERIFIED","X1A","X1A.strand","X1B","X1B.strand","X2","X2.strand","class","clade_color","color"
"OR286522","OR286522.1","Chicken astrovirus isolate SDAU2022-1, complete genome","18-OCT-2023","Chicken astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7331,"Bi,X.","","SDAU2022-1","China",NA,"2022","","Gallus gallus","No",3,"No","No","21-3441",1,"3422-4982",1,"5006-7223",1,"Aves","B",NA
"OR286521","OR286521.1","Chicken astrovirus isolate SDAU2022-2, complete genome","18-OCT-2023","Chicken astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7331,"Bi,X.","","SDAU2022-2","China",NA,"2022","","Gallus gallus","No",3,"No","No","21-3441",1,"3422-4982",1,"5006-7223",1,"Aves",NA,NA
"OR545548","OR545548.1","Chicken astrovirus isolate AAstV/Chicken/CHN/2022/SQ2201, complete genome","17-OCT-2023","Chicken astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7542,"Qian,K., Qian,H. and Qin,A.","","AAstV/Chicken/CHN/2022/SQ2201","China",NA,"2022","","Gallus gallus","No",3,"No","No","10-3430",1,"3411-4971",1,"4995-7209",1,"Aves",NA,NA
"OR351273","OR351273.1","Chicken astrovirus isolate JS202103, complete genome","27-SEP-2023","Chicken astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7507,"Yin,L. and Yu,S.","","JS202103","China",NA,"2021","LMH cells","Gallus gallus","No",3,"No","No","21-3444",1,"3425-4985",1,"5009-7226",1,"Aves","B",NA
"OR211592","OR211592.1","Goose astrovirus isolate GAstV-HBLY, complete genome","13-SEP-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7308,"Ji,J.S., Yuan,W.Z. and Zhao,K.","","GAstV-HBLY","China",NA,"2023","","Goose","No",3,"No","No","22-3304",1,"3294-4839",1,"4868-6983",1,"Aves",NA,NA
"MW826483","MW826483.1","Avastrovirus sp. isolate YSN01 genomic sequence","05-SEP-2023","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6948,"Zhu,W., Huang,Y. and Yang,J.","","YSN01","China",NA,"Jul-2019","feces","Montifringilla taczanowskii","No",3,"No","No","110-2807",1,"2932-4294",1,"4312-6829",1,"Aves",NA,NA
"MW826482","MW826482.1","Avastrovirus sp. isolate YSN02 genomic sequence","05-SEP-2023","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6835,"Zhu,W., Huang,Y. and Yang,J.","","YSN02","China",NA,"Jul-2019","feces","Montifringilla taczanowskii","No",3,"No","No","46-2788",1,"2988-4377",1,"4291-6646",1,"Aves","G",NA
"OQ787033","OQ787033.1","Goose astrovirus isolate JL01/0801/19 non-structural polyprotein (ORF1a) gene, complete cds; RNA-dependent RNA polymerase (ORF1b) gene, partial cds; and capsid protein (ORF2) gene, complete cds","02-AUG-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6930,"Xue,Z.","","JL01/0801/19","China: Ji Lin Province",NA,"2019-08-01","liver, kidney","Goose","No",3,"No","No","80-3185",1,"3175-4726",1,"4744-6859",1,"Aves",NA,NA
"ON400505","ON400505.1","Goose astrovirus isolate GAstV-GD2104, complete genome","14-JUN-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7212,"Xu,J.Y., Gao,L.G. and Chen,F.","","GAstV-GD2104","China",NA,"01-Dec-2021","kidney","Goose","No",3,"No","No","50-3305",1,"3295-4846",1,"4864-6979",1,"Aves",NA,NA
"OQ909424","OQ909424.1","Goose astrovirus strain SCG3, partial genome","07-JUN-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7014,"Xu,L.","SCG3","Sichuan","China",NA,"09-May-2021","","Goose","No",3,"No","No","0-3255",1,"3245-4796",1,"4814-6929",1,"Aves",NA,NA
"ON382522","ON382522.1","Goose astrovirus isolate GAstV-GD2105, complete genome","07-JUN-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7191,"Xu,J.Y., Gao,L.G. and Chen,F.","","GAstV-GD2105","China",NA,"15-Jan-2022","kidney","Goose","No",3,"No","No","38-3293",1,"3283-4834",1,"4852-6967",1,"Aves",NA,NA
"ON382521","ON382521.1","Goose astrovirus isolate GAstV-GD2103, complete genome","07-JUN-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7193,"Xu,J.Y., Gao,G.G. and Chen,F.","","GAstV-GD2103","China",NA,"16-Nov-2021","kidney","Goose","No",3,"No","No","13-3268",1,"3258-4809",1,"4827-6942",1,"Aves",NA,NA
"ON382520","ON382520.1","Goose astrovirus isolate GAstV-GD2102, complete genome","07-JUN-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7187,"Xu,J.Y., Gao,L.G. and Zhu,P.D.","","GAstV-GD2102","China",NA,"16-Nov-2021","kidney","Goose","No",3,"No","No","34-3289",1,"3279-4830",1,"4848-6963",1,"Aves",NA,NA
"ON382519","ON382519.1","Goose astrovirus isolate GAstV-GD2101, complete genome","07-JUN-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7183,"Xu,J.Y. and Gao,L.G.","","GAstV-GD2101","China",NA,"26-Oct-2021","kidney","Goose","No",3,"No","No","43-3298",1,"3288-4839",1,"4857-6972",1,"Aves",NA,NA
"OQ685946","OQ685946.1","MAG: Chicken astrovirus isolate CAstV/ck/TZ/Iringa/2151-IM162/2019, complete genome","26-MAY-2023","Chicken astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7337,"Kariithi,H.M., Volkening,J.D., Chiwanga,G.H., Pantin-Jackwood,M.J., Msoffe,P.L.M. and Suarez,D.L.","","CAstV/ck/TZ/Iringa/2151-IM162/2019","Tanzania: Iringa (Miomboni)",NA,"11-Apr-2019","cloacal swab","Gallus gallus","Yes",3,"No","No","69-3363",1,"3344-4904",1,"4928-7094",1,"Aves","B",NA
"OQ685945","OQ685945.1","MAG: Avian nephritis virus isolate ANV/ck/TZ/Iringa/2151-IM162/2019, complete genome","26-MAY-2023","Avian nephritis virus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6938,"Kariithi,H.M., Volkening,J.D., Pantin-Jackwood,M.J., Chiwanga,G.H., Msoffe,P.L.M. and Suarez,D.L.","","ANV/ck/TZ/Iringa/2151-IM162/2019","Tanzania: Iringa (Miomboni)",NA,"11-Apr-2019","cloacal swab","Gallus gallus","Yes",4,"No","No","21-3063",1,"3131-4583",1,"4602-6615",1,"Aves","P",NA
"OP776630","OP776630.1","Goose astrovirus strain GDYJ-21-01, complete genome","14-MAY-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7299,"Liu,C., Dong,J., Li,L. and Sun,M.","GDYJ-21-01","","China",NA,"2021","","Goose","No",3,"No","No","22-3304",1,"3294-4839",1,"4868-6983",1,"Aves",NA,NA
"OP776629","OP776629.1","Goose astrovirus strain GDZJ-21-01, complete genome","14-MAY-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7183,"Liu,C., Dong,J., Li,L. and Sun,M.","GDZJ-21-01","","China",NA,"2021","","Goose","No",3,"No","No","18-3273",1,"3263-4814",1,"4832-6947",1,"Aves",NA,NA
"OP272633","OP272633.1","Goose astrovirus isolate AH33-3, partial genome","04-APR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7225,"Ma,P., Zhang,M., Zhang,L. and Li,Y.","","AH33-3","China",NA,"2021","liver, spleen, kidney","Goose","No",3,"No","No","0-3519",1,"3512-5081",1,"5047-7225",1,"Aves","B",NA
"OP169001","OP169001.1","Chicken astrovirus isolate AAstV/Chicken/CHN/2021/HA2101, complete genome","03-APR-2023","Chicken astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7632,"Qian,K., Song,R., Qin,A. and Shao,H.","","AAstV/Chicken/CHN/2021/HA2101","China",NA,"2021","","Gallus gallus","No",3,"No","No","70-3490",1,"3471-5031",1,"5055-7269",1,"Aves",NA,NA
"OP179660","OP179660.1","Goose astrovirus strain GoAstv-C2, partial genome","01-APR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7035,"Cen,X.","GoAstv-C2","","China",NA,"25-Jun-2022","","Goose","No",3,"No","No","9-3264",1,"3254-4805",1,"4823-6938",1,"Aves",NA,NA
"OP621341","OP621341.1","Goose astrovirus strain AAstV/Goose/CHN/2019/SD03, complete genome","21-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Ren,Z., Zhang,Q. and Su,J.","AAstV/Goose/CHN/2019/SD03","","China: Shandong province",NA,"2019-10-09","liver, kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"OP621340","OP621340.1","Goose astrovirus strain AAstV/Goose/CHN/2019/JX03, complete genome","21-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Ren,Z., Zhang,Q. and Su,J.","AAstV/Goose/CHN/2019/JX03","","China: Jiangxi province",NA,"2019-12-02","liver, kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"OP621339","OP621339.1","Goose astrovirus strain AAstV/Goose/CHN/2019/JX02, complete genome","21-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Ren,Z., Zhang,Q. and Su,J.","AAstV/Goose/CHN/2019/JX02","","China: Jiangxi province",NA,"2019-12-02","liver, kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"OP621338","OP621338.1","Goose astrovirus strain AAstV/Goose/CHN/2018/JX01, complete genome","21-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Ren,Z., Zhang,Q. and Su,J.","AAstV/Goose/CHN/2018/JX01","","China: Jiangxi province",NA,"2018-03-29","liver, kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"OP621337","OP621337.1","Goose astrovirus strain AAstV/Goose/CHN/2018/JS01, complete genome","21-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Ren,Z., Zhang,Q. and Su,J.","AAstV/Goose/CHN/2018/JS01","","China: Jiangsu province",NA,"2018-02-06","liver, kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"OP621336","OP621336.1","Goose astrovirus strain AAstV/Goose/CHN/2018/HB02, complete genome","21-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Ren,Z., Zhang,Q. and Su,J.","AAstV/Goose/CHN/2018/HB02","","China: Hebei province",NA,"2018-04-22","liver, kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"OP621335","OP621335.1","Goose astrovirus strain AAstV/Goose/CHN/2021/AH02, complete genome","21-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Ren,Z., Zhang,Q. and Su,J.","AAstV/Goose/CHN/2021/AH02","","China: Anhui province",NA,"2021-05-08","liver, kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"OP621334","OP621334.1","Goose astrovirus strain AAstV/Goose/CHN/2019/AH01, complete genome","21-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Ren,Z., Zhang,Q. and Su,J.","AAstV/Goose/CHN/2019/AH01","","China: Anhui province",NA,"2019-11-15","liver, kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"OP621333","OP621333.1","Goose astrovirus strain AAstV/Goose/CHN/2019/JX-Embryo, complete genome","21-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Ren,Z., Zhang,Q. and Su,J.","AAstV/Goose/CHN/2019/JX-Embryo","","China: Jiangxi province",NA,"2019-12-16","liver, kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"OP621332","OP621332.1","Goose astrovirus strain AAstV/Goose/CHN/2020/SD04, complete genome","21-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Ren,Z., Zhang,Q. and Su,J.","AAstV/Goose/CHN/2020/SD04","","China: Shandong province",NA,"2020-11-18","liver, kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"OP621331","OP621331.1","Goose astrovirus strain AAstV/Goose/CHN/2019/SD02, complete genome","21-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Ren,Z., Zhang,Q. and Su,J.","AAstV/Goose/CHN/2019/SD02","","China: Shandong province",NA,"2019-05-03","liver, kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"OP621330","OP621330.1","Goose astrovirus strain AAstV/Goose/CHN/2021/JX04, complete genome","21-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Ren,Z., Zhang,Q. and Su,J.","AAstV/Goose/CHN/2021/JX04","","China: Jiangxi province",NA,"2021-03-16","liver, kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"OP484924","OP484924.1","Goose astrovirus strain AAstV/Goose/CHN/2018/HB01, complete genome","21-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Ren,Z., Zhang,Q. and Su,J.","AAstV/Goose/CHN/2018/HB01","","China: Hebei province",NA,"2018-04-11","liver, kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves","B",NA
"OP484923","OP484923.1","Goose astrovirus strain AAstV/Goose/CHN/2018/GD01, complete genome","21-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Ren,Z., Zhang,Q. and Su,J.","AAstV/Goose/CHN/2018/GD01","","China: Guangdong province",NA,"2018-03-09","liver, kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"ON954324","ON954324.1","Goose astrovirus strain GAsTV/2021/CHN, complete genome","18-MAR-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7210,"Wang,X.","GAsTV/2021/CHN","","China",NA,"2021","tissue","Goose","No",3,"No","No","59-3314",1,"3304-4855",1,"4873-6988",1,"Aves",NA,NA
"OM469237","OM469237.1","MAG: Avastrovirus sp. isolate ANV/PB55-SI14/Switzerland/2019 ORF1ab polyprotein, non-structural polyprotein, and capsid protein genes, partial cds","03-MAR-2023","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",5130,"Kubacki,J., Qi,W. and Fraefel,C.","","ANV/PB55-SI14/Switzerland/2019","Switzerland",NA,"2019","ground feces","Gallus gallus","Yes",3,"No","No","0-1560",1,"1559-3083",1,"3102-5130",1,"Aves",NA,NA
"OM469236","OM469236.1","MAG: Avastrovirus sp. isolate ANV/PB5-HI5/Switzerland/2019 ORF1ab polyprotein, non-structural polyprotein, and capsid protein genes, complete cds","03-MAR-2023","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6936,"Kubacki,J., Qi,W. and Fraefel,C.","","ANV/PB5-HI5/Switzerland/2019","Switzerland",NA,"2019","ground feces","Gallus gallus","Yes",3,"No","No","14-3044",1,"3043-4567",1,"4586-6620",1,"Aves",NA,NA
"OM469235","OM469235.1","MAG: Avastrovirus sp. isolate ANV/PB15-HI11/Switzerland/2019 ORF1ab polyprotein, non-structural polyprotein, and capsid protein genes, complete cds","03-MAR-2023","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6922,"Kubacki,J., Qi,W. and Fraefel,C.","","ANV/PB15-HI11/Switzerland/2019","Switzerland",NA,"2019","ground feces","Gallus gallus","Yes",3,"No","No","19-3049",1,"3048-4572",1,"4591-6625",1,"Aves",NA,NA
"OM469234","OM469234.1","MAG: Avastrovirus sp. isolate ANV/PB1-HI5/Switzerland/2019 ORF1ab polyprotein, non-structural polyprotein, and capsid protein genes, complete cds","03-MAR-2023","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6767,"Kubacki,J., Qi,W. and Fraefel,C.","","ANV/PB1-HI5/Switzerland/2019","Switzerland",NA,"2019","ground feces","Gallus gallus","Yes",3,"No","No","6-3036",1,"3035-4559",1,"4578-6612",1,"Aves",NA,NA
"OM469233","OM469233.1","MAG: Avastrovirus sp. isolate ANV/PB11-HI6/Switzerland/2019 ORF1ab polyprotein, non-structural polyprotein, and capsid protein genes, complete cds","03-MAR-2023","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6894,"Kubacki,J., Qi,W. and Fraefel,C.","","ANV/PB11-HI6/Switzerland/2019","Switzerland",NA,"2019","ground feces","Gallus gallus","Yes",3,"No","No","21-3051",1,"3050-4574",1,"4593-6627",1,"Aves",NA,NA
"OM469232","OM469232.1","MAG: Avastrovirus sp. isolate ANV/PB7-HI6/Switzerland/2019 ORF1ab polyprotein, non-structural polyprotein, and capsid protein genes, complete cds","03-MAR-2023","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6874,"Kubacki,J., Qi,W. and Fraefel,C.","","ANV/PB7-HI6/Switzerland/2019","Switzerland",NA,"2019","ground feces","Gallus gallus","Yes",3,"No","No","13-3043",1,"3042-4566",1,"4585-6619",1,"Aves","P",NA
"OM469231","OM469231.1","MAG: Avastrovirus sp. isolate ANV/PB21-SI5/Switzerland/2019 ORF1ab polyprotein, non-structural polyprotein, and capsid protein genes, complete cds","03-MAR-2023","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6893,"Kubacki,J., Qi,W. and Fraefel,C.","","ANV/PB21-SI5/Switzerland/2019","Switzerland",NA,"2019","ground feces","Gallus gallus","Yes",3,"No","No","14-3053",1,"3052-4576",1,"4595-6626",1,"Aves",NA,NA
"OM469230","OM469230.1","MAG: Avastrovirus sp. isolate ANV/PB31-SI19/Switzerland/2019 ORF1ab polyprotein and non-structural polyprotein genes, partial cds; and capsid protein gene, complete cds","03-MAR-2023","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",5935,"Kubacki,J., Qi,W. and Fraefel,C.","","ANV/PB31-SI19/Switzerland/2019","Switzerland",NA,"2019","ground feces","Gallus gallus","Yes",3,"No","No","0-2274",1,"2273-3797",1,"3816-5847",1,"Aves","P",NA
"OM469229","OM469229.1","MAG: Avastrovirus sp. isolate ANV/PB23-SI7/Switzerland/2019 ORF1ab polyprotein, non-structural polyprotein, and capsid protein genes, complete cds","03-MAR-2023","Avastrovirus sp.","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6750,"Kubacki,J., Qi,W. and Fraefel,C.","","ANV/PB23-SI7/Switzerland/2019","Switzerland",NA,"2019","ground feces","Gallus gallus","Yes",3,"No","No","5-3044",1,"3043-4567",1,"4586-6617",1,"Aves",NA,NA
"ON205965","ON205965.1","Goose astrovirus isolate AAstv/CHN/Goose/2018, complete genome","31-JAN-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Lv,X., Jia,B., Xie,X., Li,W., Yu,S., Chen,S., Yang,Q., Wang,B., Zhu,Y., Wang,Q. and Wang,G.","","AAstv/CHN/Goose/2018","China",NA,"May-2018","liver and kidney","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"OM811458","OM811458.1","Goose astrovirus isolate Astv/Goose/Heilongjiang/ZYL01/2018, complete genome","30-JAN-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7181,"Li,Q. and Zhang,Y.","","Astv/Goose/Heilongjiang/ZYL01/2018","China",NA,"31-Dec-2018","","Goose","No",3,"No","No","18-3273",1,"3263-4814",1,"4832-6947",1,"Aves",NA,NA
"ON156528","ON156528.1","Goose astrovirus strain GDZJ37, complete genome","28-JAN-2023","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7182,"Yang,H.","GDZJ37","","China",NA,"10-Jan-2022","","Goose","No",3,"No","No","18-3273",1,"3263-4814",1,"4832-6947",1,"Aves",NA,NA
"ON964512","ON964512.1","Avian nephritis virus strain HNU-ANV-ML-2020, complete genome","24-JAN-2023","Avian nephritis virus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",6950,"Xiao,C.-T., Xia,J.-Y., Liao,J.-Y. and Liu,C.-X.","HNU-ANV-ML-2020","","China:Hunan",NA,"Dec-2020","","Gallus gallus","No",3,"No","No","13-3058",1,"3051-4578",1,"4597-6637",1,"Aves","P",NA
"ON745304","ON745304.1","Goose astrovirus isolate ZJCX, complete genome","26-DEC-2022","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7182,"Zhu,Y., Wang,H., Yun,T., Hua,J., Ye,W., Ni,Z., Chen,L. and Zhang,C.","","ZJCX","China",NA,"15-Jun-2021","liver","Landaise","No",3,"No","No","18-3273",1,"3263-4814",1,"4832-6947",1,"Aves",NA,NA
"OM937013","OM937013.1","Goose astrovirus strain SD, complete genome","20-DEC-2022","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7128,"Deng,X.","SD","","China: Shandong",NA,"2017-05","","Goose","No",3,"No","No","18-3273",1,"3263-4814",1,"4832-6947",1,"Aves",NA,NA
"OL762473","OL762473.1","Goose astrovirus 2 isolate JXGZ, complete genome","01-DEC-2022","Goose astrovirus 2","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7177,"Zhang,F., Li,H., Kang,Z., Yang,Q. and Wei,Q.","","JXGZ","China",NA,"Mar-2020","kidney","Goose","No",3,"No","No","13-3268",1,"3261-4809",1,"4827-6942",1,"Aves",NA,NA
"OM066895","OM066895.1","Goose astrovirus isolate AAstV/Goose/CHN/2021/ZY02, complete genome","26-NOV-2022","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Jia,B., Lv,X., Yang,Q., Zhang,M., Li,W., Chen,S., Jiang,Y., Wang,B., Zhu,Y., Wang,Q. and Wang,G.","","AAstV/Goose/CHN/2021/ZY02","China",NA,"Apr-2021","","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
"OM066894","OM066894.1","Goose astrovirus isolate AAstV/Goose/CHN/2021/HR2110/1, complete genome","26-NOV-2022","Goose astrovirus","Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus","","Astroviridae",7175,"Jia,B., Lv,X., Yang,Q., Zhang,M., Li,W., Chen,S., Jiang,Y., Wang,B., Zhu,Y., Wang,Q. and Wang,G.","","AAstV/Goose/CHN/2021/HR2110/1","China",NA,"Oct-2021","","Goose","No",3,"No","No","10-3265",1,"3255-4806",1,"4824-6939",1,"Aves",NA,NA
