sequence_nm,id,Geo location,Collection date,Country,Host,Host_species,Host_genus,Host_fam,Host_fam_ru,class,aa83_1B,aa90_1B,nt86_1B,nt80_1B
OM469231/NA/ANV-PB21-SI5-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,OM469231,Switzerland,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
OM469230/NA/ANV-PB31-SI19-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,OM469230,Switzerland,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
OM469229/NA/ANV-PB23-SI7-Switzerland-2019/Gallus-gallus-domesticus-(broiler)/2019,OM469229,Switzerland,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
ON205965/NA/AAstv-CHN-Goose-2018/goose/2018,ON205965,China,May-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM811458/NA/Astv-Goose-Heilongjiang-ZYL01-2018/goose/2018,OM811458,China,31-Dec-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
ON156528/NA/NA/goose/2022,ON156528,China,10-Jan-2022,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
ON964512/NA/NA/Gallus-gallus/2020,ON964512,China:Hunan,Dec-2020,,Gallus gallus,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
ON745304/NA/ZJCX/landaise/2021,ON745304,China,15-Jun-2021,,landaise,Landaise,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM937013/NA/NA/goose/2017,OM937013,China: Shandong,2017-05,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OL762473/NA/JXGZ/goose/2020,OL762473,China,Mar-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM066895/NA/AAstV-Goose-CHN-2021-ZY02/goose/2021,OM066895,China,Apr-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM066894/NA/AAstV-Goose-CHN-2021-HR2110-1/goose/2021,OM066894,China,Oct-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM066893/NA/AAstV-Goose-CHN-2021-HR2105-2/goose/2021,OM066893,China,May-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM066892/NA/AAstV-Goose-CHN-2021-HR2105-1/goose/2021,OM066892,China,May-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OL853843/NA/HLJ/goose/2019,OL853843,China,2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM100603/NA/AstV-JS04-Goose-0919-20/goose/2020,OM100603,China,19-Sep-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM100602/NA/AstV-JS03-Goose-0702-20/goose/2020,OM100602,China,02-Jul-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM100601/NA/AstV-JS02-Goose-0518-20/goose/2020,OM100601,China,18-May-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM100600/NA/AstV-JS01-Goose-0518-20/goose/2020,OM100600,China,18-May-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM100599/NA/AstV-HN05-Goose-0514-20/goose/2020,OM100599,China,14-May-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM100598/NA/AstV-HN04-Goose-0514-20/goose/2020,OM100598,China,14-May-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM100597/NA/AstV-HB06-Goose-1226-19/goose/2019,OM100597,China,26-Dec-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM100596/NA/AstV-HB05-Goose-0812-19/goose/2019,OM100596,China,12-Aug-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM100595/NA/AstV-HB04-Goose-0811-19/goose/2019,OM100595,China,12-Aug-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM100594/NA/AstV-HB03-Goose-0810-19/goose/2019,OM100594,China,11-Aug-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM100593/NA/AstV-AN06-Goose-0714-19/goose/2019,OM100593,China,14-Jul-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM100592/NA/AstV-AH05-Goose-0711-19/goose/2019,OM100592,China,11-Jul-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM100591/NA/AstV-AH04-Goose-0614-19/goose/2019,OM100591,China,14-Jun-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM100590/NA/AstV-AH03-Goose-0422-19/goose/2019,OM100590,China,22-Apr-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM455389/NA/HeB-BD4-2019/goose/2019,OM455389,China: Hebei,16-Sep-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM455388/NA/HeB-BD1-2021/goose/2021,OM455388,China: Hebei,24-Jan-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM264914/NA/NA/goslings/2019,OM264914,China: Hebei,04-Jan-2019,,goslings,Gosling,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OM264913/NA/NA/goslings/2019,OM264913,China: Hebei,06-Jul-2019,,goslings,Gosling,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OM264912/NA/NA/goslings/2019,OM264912,China: Hebei,15-Jul-2019,,goslings,Gosling,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OM264911/NA/NA/goslings/2019,OM264911,China: Hebei,19-Jul-2019,,goslings,Gosling,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OM200916/NA/NA/goslings/2019,OM200916,China: Hebei,20-Jul-2019,,goslings,Gosling,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OL982615/NA/JSZ29/goose/2020,OL982615,China,11-Oct-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OL982614/NA/JSCZ15/goose/2015,OL982614,China,11-Nov-2015,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OL982613/NA/XSSH/goose/2020,OL982613,China,10-Jun-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OL963558/NA/JSW10/goose/2020,OL963558,China,24-Sep-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OL963557/NA/JSW1/goose/2020,OL963557,China,03-Sep-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OL963556/NA/JSSQ/goose/2020,OL963556,China,11-Jul-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OL963555/NA/JSCZ/goose/2020,OL963555,China,15-Jun-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OP020131/NA/NA/50-day-old-Landes-geese/2022,OP020131,China: Shandong province,2022-01-16,,50-day-old Landes geese,Lande geese,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OL536330/NA/HeB-BD1-2020/goose/2020,OL536330,China: Hebei,21-Oct-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW385412/NA/NA/Crow/2017,MW385412,China,28-Dec-2017,,Crow,Crow,Corvus,Corvidae,Corvidae (врановые),Aves,17.0,19.0,18.0,17.0
MW786757/NA/SCCD/goose/2018,MW786757,China,Sep-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
MW505493/NA/NA/goose/2019,MW505493,"China: Liaoning Province, Anshan",21-Aug-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW505492/NA/NA/goose/2019,MW505492,"China: Jiangsu Province, Xuzhou",20-Jun-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW505491/NA/NA/goose/2019,MW505491,"China: Heilongjiang Province, Yichun",06-Jun-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW505490/NA/NA/goose/2019,MW505490,"China: Heilongjiang Province, Jixi",21-Jun-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW505489/NA/NA/goose/2019,MW505489,"China: Heilongjiang Province, Shuangyashan",21-Jun-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW505488/NA/NA/goose/2019,MW505488,"China: Heilongjiang Province, Jiamusi",16-Jul-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW505487/NA/NA/goose/2019,MW505487,"China: Heilongjiang Province, Harbin",11-Jun-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW505486/NA/NA/goose/2019,MW505486,"China: Shandong Province, Weifang",05-Jul-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW505485/NA/NA/goose/2019,MW505485,"China: Jilin Province, Shulan",05-Aug-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MZ648231/NA/AAstV-Goose-CHN-2021-ZM/goose/2021,MZ648231,China,2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MZ819185/NA/ZJC14/goose/2020,MZ819185,China,Jun-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
MZ819184/NA/ZJLD/goose/2020,MZ819184,China,Jun-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MZ819183/NA/JRMS/goose/2020,MZ819183,China,Jun-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW536497/NA/YC20/goose/2020,MW536497,China,10-Aug-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OK148600/NA/NA/goose/2020,OK148600,China,02-Oct-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM273310/NA/NA/goose/2021,OM273310,China: Shandong province,21-Aug-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM273309/NA/NA/goose/2021,OM273309,China: Shandong province,16-Jul-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM273308/NA/NA/goose/2021,OM273308,China: Shandong province,30-Jun-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM273307/NA/NA/goose/2021,OM273307,China: Shandong province,07-May-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM273306/NA/NA/goose/2021,OM273306,China: Shandong province,26-Apr-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM273305/NA/NA/goose/2021,OM273305,China: Shandong province,15-Apr-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM273304/NA/NA/goose/2021,OM273304,China: Shandong province,10-Apr-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM273303/NA/NA/goose/2021,OM273303,China: Shandong province,28-Mar-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OM273302/NA/NA/goose/2021,OM273302,China: Shandong province,12-Mar-2021,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW217578/NA/DAstV-SDZZ/duck/2020,MW217578,China,2020,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
OL762472/NA/JXYC/goose/NA,OL762472,China,,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OL762471/NA/JXGZ/goose/NA,OL762471,China,,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
MZ540211/NA/NA/goose/2019,MZ540211,China,2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OL652659/NA/DAstV-SDWF/duck/2021,OL652659,China,2021,,duck,Duck,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
MZ150559/NA/ANV-Chicken-CHN-2020-AH202017/chicken/2020,MZ150559,China,2020,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
OK571391/NA/ZJC14/goslings/2020,OK571391,China,10-Jun-2020,,goslings,Gosling,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
OK571390/NA/JRMS/goose/2020,OK571390,China,03-Dec-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
OK571389/NA/ZJLD/goose/2020,OK571389,China,10-Jun-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW353015/NA/TZ03/goose/2019,MW353015,China,07-Aug-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
KT946725/NA/D10-5628-HK/spotted-dove/NA,KT946725,Hong Kong,,,spotted dove,Spotted dove,Streptopelia,Columbidae,Columbidae (голубиные),Aves,20.0,1.0,64.0,56.0
KT946724/NA/D11-440-HK/feral-pigeon/NA,KT946724,Hong Kong,,,feral pigeon,Feral pigeon,Columba,Columbidae,Columbidae (голубиные),Aves,20.0,1.0,60.0,56.0
KT946723/NA/D11-336-2-HK/spotted-dove/NA,KT946723,Hong Kong,,,spotted dove,Spotted dove,Streptopelia,Columbidae,Columbidae (голубиные),Aves,20.0,1.0,64.0,56.0
KT946722/NA/D11-116-HK/spotted-dove/NA,KT946722,Hong Kong,,,spotted dove,Spotted dove,Streptopelia,Columbidae,Columbidae (голубиные),Aves,20.0,1.0,64.0,56.0
KT946720/NA/D11-515-HK/house-crow/NA,KT946720,Hong Kong,,,house crow,House crow,Corvus,Corvidae,Corvidae (врановые),Aves,18.0,21.0,67.0,19.0
KT946719/NA/D11-467-HK/house-crow/NA,KT946719,Hong Kong,,,house crow,House crow,Corvus,Corvidae,Corvidae (врановые),Aves,18.0,21.0,67.0,19.0
KT946718/NA/D11-139-HK/house-crow/NA,KT946718,Hong Kong,,,house crow,House crow,Corvus,Corvidae,Corvidae (врановые),Aves,18.0,21.0,67.0,19.0
MZ576222/NA/JX01-China-2021/goose/2021,MZ576222,China,2021-05-20,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MZ375139/NA/3PE-RDRP-2/Phrynocephalus-erythrurus/2020,MZ375139,China,2020,,Phrynocephalus erythrurus,Phrynocephalus erythrurus,Phrynocephalus,Agamidae,Agamidae (агамовые),Lepidosauria,25.0,28.0,26.0,26.0
MZ367612/NA/HNNY0620/Muscovy-duck/2020,MZ367612,China,20-Jun-2020,,Muscovy-duck,Muscovy duck,Cairina,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW826371/NA/XZN01/bird/2018,MW826371,China,Apr-2018,,bird,bird,bird,,,Aves,31.0,34.0,32.0,32.0
MK746105/NA/AAstV-Chicken-CHN-2017-NJ1701/chicken/2017,MK746105,China,2017,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,2.0,1.0,1.0
MW846319/NA/CAstV-Chicken-CHN-2020-GD202013/chicken/2020,MW846319,China,2020,,chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MW684833/NA/Chicken-NLD-2019-V-M-053-astro-2/Gallus-gallus-domesticus-(broiler)/2019,MW684833,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MW684832/NA/Chicken-NLD-2019-V-M-048-astro-2/Gallus-gallus-domesticus-(broiler)/2019,MW684832,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MW684831/NA/Chicken-NLD-2019-V-M-047-astro-4/Gallus-gallus-domesticus-(broiler)/2019,MW684831,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MW684830/NA/Chicken-NLD-2019-V-M-046-astro-12/Gallus-gallus-domesticus-(broiler)/2019,MW684830,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MW684829/NA/Chicken-NLD-2019-V-M-041-astro-13/Gallus-gallus-domesticus-(broiler)/2019,MW684829,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MW684827/NA/Chicken-NLD-2019-V-M-039-astro-3/Gallus-gallus-domesticus-(broiler)/2019,MW684827,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MW684826/NA/Chicken-NLD-2019-V-M-039-astro-2/Gallus-gallus-domesticus-(broiler)/2019,MW684826,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MW684825/NA/Chicken-NLD-2019-V-M-038-astro-6/Gallus-gallus-domesticus-(broiler)/2019,MW684825,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MW684824/NA/Chicken-NLD-2019-V-M-038-astro-5/Gallus-gallus-domesticus-(broiler)/2019,MW684824,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MW684823/NA/Chicken-NLD-2019-V-M-038-astro-4/Gallus-gallus-domesticus-(broiler)/2019,MW684823,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MW684822/NA/Chicken-NLD-2019-V-M-036-astro-4/Gallus-gallus-domesticus-(broiler)/2019,MW684822,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MW684821/NA/Chicken-NLD-2019-V-M-034-astro-2/Gallus-gallus-domesticus-(broiler)/2019,MW684821,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MW684820/NA/Chicken-NLD-2019-V-M-033-astro-3/Gallus-gallus-domesticus-(broiler)/2019,MW684820,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MW684819/NA/Chicken-NLD-2019-V-M-030-astro-12/Gallus-gallus-domesticus-(broiler)/2019,MW684819,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MW684818/NA/Chicken-NLD-2019-V-M-015-astro-2/Gallus-gallus-domesticus-(broiler)/2019,MW684818,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MW684817/NA/Environment-NLD-2019-VE-7-astro-14/Gallus-gallus-domesticus-(broiler)/2019,MW684817,Netherlands,2019,,Gallus gallus domesticus (broiler),Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,35.0,3.0,41.0,40.0
MT708902/NA/AAstV-Goose-CHN-2019-DY-19/Anser-anser/2019,MT708902,China,Sep-2019,,Anser anser,Anser anser,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MT993596/NA/MW10-1o/Arenaria-interpres-(ruddy-turnstone)/2015,MT993596,Australia,2015,,Arenaria interpres (ruddy turnstone),Arenaria interpres (ruddy turnstone),Arenaria,Scolopacidae,Scolopacidae (бекасовые),Aves,5.0,54.0,54.0,52.0
MT993595/NA/MW09-1o/Arenaria-interpres-(ruddy-turnstone)/2015,MT993595,Australia,2015,,Arenaria interpres (ruddy turnstone),Arenaria interpres (ruddy turnstone),Arenaria,Scolopacidae,Scolopacidae (бекасовые),Aves,6.0,56.0,56.0,54.0
MT993583/NA/MW06-2o/Arenaria-interpres-(ruddy-turnstone)/2014,MT993583,Australia,2014,,Arenaria interpres (ruddy turnstone),Arenaria interpres (ruddy turnstone),Arenaria,Scolopacidae,Scolopacidae (бекасовые),Aves,10.0,59.0,58.0,57.0
MN149395/NA/D390/Jinding-ducks/2013,MN149395,China,13-Oct-2013,,Jinding ducks,Jinding ducks,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
MN149394/NA/D200/Jinding-ducks/2013,MN149394,China,13-Oct-2013,,Jinding ducks,Jinding ducks,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
MN149393/NA/D120/Jinding-ducks/2013,MN149393,China,13-Oct-2013,,Jinding ducks,Jinding ducks,Anas,Anatidae,Anatidae (утиные),Aves,43.0,15.0,36.0,36.0
MW592379/NA/HNXX-6-China-2020/goose/2020,MW592379,China,2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW592378/NA/HNSQ-6-China-2020/goose/2020,MW592378,China,2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW592377/NA/HNKF-1-China-2020/goose/2020,MW592377,China,2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW345727/NA/SDPD/goose/2019,MW345727,China,Jan-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MW340534/NA/SCCD/goose/2019,MW340534,China,Jan-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,8.0,17.0,15.0,14.0
MW413813/NA/XT1/goose/2020,MW413813,China: HeBei,05-May-2020,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MT934439/NA/NA/goose/2019,MT934439,China,May-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MT934438/NA/NA/goose/2019,MT934438,China,May-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MT934437/NA/NA/goose/2019,MT934437,China,May-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MT585644/NA/VF16-03-164b/Gallus-gallus-broiler-chicken/2016,MT585644,United Kingdom: Northern Ireland,2016,,Gallus gallus broiler chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MT585643/NA/VF14-92-A2/Gallus-gallus-broiler-chicken/NA,MT585643,United Kingdom,,,Gallus gallus broiler chicken,Gallus gallus,Gallus,Phasianidae,Phasianidae (фазановые),Aves,20.0,63.0,9.0,8.0
MN109957/NA/NA/goose/2018,MN109957,China: Guangdong,11-Oct-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN109956/NA/NA/goose/2018,MN109956,China: Guangdong,25-Aug-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN109955/NA/NA/goose/2018,MN109955,China: Guangdong,09-Mar-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN109954/NA/NA/goose/2018,MN109954,China: Guangdong,01-Jul-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN127959/NA/NA/goose/2018,MN127959,China: Guangdong,18-Dec-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN127958/NA/NA/goose/2018,MN127958,China: Guangdong,30-Nov-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN127957/NA/NA/goose/2018,MN127957,China: Guangdong,29-Nov-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN127956/NA/NA/goose/2018,MN127956,China: Guangdong,25-Nov-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN127955/NA/NA/goose/2019,MN127955,China: Guangdong,16-Jan-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN127954/NA/NA/goose/2019,MN127954,China: Guangdong,16-Jan-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN127953/NA/NA/goose/2019,MN127953,China: Guangdong,03-Jan-2019,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN127952/NA/NA/goose/2018,MN127952,China: Guangdong,19-Dec-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN127951/NA/NA/goose/2018,MN127951,China: Guangdong,20-Nov-2018,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
MN103532/NA/NA/goose/2018,MN103532,China,2018-07-01,,goose,Goose,Anser,Anatidae,Anatidae (утиные),Aves,14.0,4.0,2.0,2.0
