ID белка,Название семейства/белка,Описание предсказания,Источник предсказания,Вхождение из orf,ORF,id_prefix
MN034849_9,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,MN034849
MN034849_9,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,MN034849
MN034849_9,-,consensus disorder prediction,MobiDBLite,-,-,MN034849
MN034849_9,-,consensus disorder prediction,MobiDBLite,-,-,MN034849
MN034849_9,-,consensus disorder prediction,MobiDBLite,-,-,MN034849
MN034849_9,-,consensus disorder prediction,MobiDBLite,-,-,MN034849
MN034849_9,Viral coat protein subunit,-,Gene3D,-,-,MN034849
MN034849_9,"Icosahedral viral capsid protein, S domain",Viral coat protein (S domain),Pfam,,Picorna,MN034849
MN034849_9,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN034849
MN035369_5,-,SignalP-noTM,SignalP_EUK,-,-,MN035369
MN035574_10,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035574
MN035574_10,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035574
MN035574_10,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035574
MN035574_10,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035574
MN035574_10,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035574
MN035574_12,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035574
MN036131_3,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,MN036131
MN036131_3,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,MN036131
MN036131_3,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN036131
MN036131_3,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,MN036131
MN035838_19,-,Hydrophobic region of a signal peptide.,Phobius,-,-,MN035838
MN035838_19,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838
MN035838_19,-,Signal peptide region,Phobius,-,-,MN035838
MN035838_19,-,N-terminal region of a signal peptide.,Phobius,-,-,MN035838
MN035838_19,-,C-terminal region of a signal peptide.,Phobius,-,-,MN035838
MN034422_12,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,MN034422
MN034422_12,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN034422
MN035893_4,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN035893
MN035893_4,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,MN035893
MN035574_8,-,consensus disorder prediction,MobiDBLite,-,-,MN035574
MN035574_8,-,consensus disorder prediction,MobiDBLite,-,-,MN035574
MN035574_8,-,consensus disorder prediction,MobiDBLite,-,-,MN035574
MN035838_29,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838
MN035838_29,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035838_29,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838
MN035838_29,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838
MN035838_29,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035893_7,-,consensus disorder prediction,MobiDBLite,-,-,MN035893
MN035574_15,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN035574
MN035574_15,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,MN035574
MN035369_8,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,MN035369
MN035369_8,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN035369
MN035369_8,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,MN035369
MN035369_8,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,MN035369
MN036159_17,-,consensus disorder prediction,MobiDBLite,-,-,MN036159
MN035838_23,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838
MN035838_23,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838
MN035838_23,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035369_7,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035369
MN035369_7,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035369
MN035369_7,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035369
MN035369_7,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035369
MN035369_7,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035369
MN035369_7,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035369
MN035369_7,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035369
MN035369_7,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035369
MN035369_7,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035369
MN035369_7,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035369
MN035838_8,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035838_8,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838
MN035838_8,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035838
MN035838_8,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838
MN035574_5,-,consensus disorder prediction,MobiDBLite,-,-,MN035574
MN035574_5,-,consensus disorder prediction,MobiDBLite,-,-,MN035574
MN034422_7,-,consensus disorder prediction,MobiDBLite,-,-,MN034422
MN034422_7,-,consensus disorder prediction,MobiDBLite,-,-,MN034422
MN034422_7,-,consensus disorder prediction,MobiDBLite,-,-,MN034422
MN034422_7,-,consensus disorder prediction,MobiDBLite,-,-,MN034422
MN035838_27,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838
MN035838_27,-,Signal peptide region,Phobius,-,-,MN035838
MN035838_27,-,C-terminal region of a signal peptide.,Phobius,-,-,MN035838
MN035838_27,-,Hydrophobic region of a signal peptide.,Phobius,-,-,MN035838
MN035838_27,-,N-terminal region of a signal peptide.,Phobius,-,-,MN035838
MN034849_4,-,C-terminal region of a signal peptide.,Phobius,-,-,MN034849
MN034849_4,-,N-terminal region of a signal peptide.,Phobius,-,-,MN034849
MN034849_4,-,Hydrophobic region of a signal peptide.,Phobius,-,-,MN034849
MN034849_4,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN034849
MN034849_4,-,Signal peptide region,Phobius,-,-,MN034849
MN034849_4,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN034849
MN035574_16,-,consensus disorder prediction,MobiDBLite,-,-,MN035574
MN035893_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035893
MN035893_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035893
MN035893_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035893
MN035893_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035893
MN035893_2,-,consensus disorder prediction,MobiDBLite,-,-,MN035893
MN035893_2,-,consensus disorder prediction,MobiDBLite,-,-,MN035893
MN035369_6,-,C-terminal region of a signal peptide.,Phobius,-,-,MN035369
MN035369_6,-,Hydrophobic region of a signal peptide.,Phobius,-,-,MN035369
MN035369_6,-,Signal peptide region,Phobius,-,-,MN035369
MN035369_6,-,N-terminal region of a signal peptide.,Phobius,-,-,MN035369
MN035369_6,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035369
MN035893_1,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035893
MN035893_1,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035893
MN035893_1,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035893
MN035893_1,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035893
MN034422_1,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN034422
MN034422_1,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN034422
MN034422_1,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN034422
MN034422_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN034422
MN034422_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN034422
MN034422_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN034422
MN034422_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN034422
MN034422_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN034422
MN034422_13,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN034422
MN034422_13,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN034422
MN035838_6,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838
MN035838_6,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035838_6,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN035838
MN035838_6,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN035838
MN035838_6,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN035838
MN035838_6,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035838
MN035838_6,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN035838
MN032977_37,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN032977_37,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_37,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN032977
MN032977_37,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN033907_5,-,consensus disorder prediction,MobiDBLite,-,-,MN033907
MN033907_5,-,consensus disorder prediction,MobiDBLite,-,-,MN033907
MN032977_36,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_36,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_36,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN032977
MN032977_36,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN032977_23,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN032977
MN032977_23,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_23,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN032977
MN032977_23,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN032977_23,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN032977
MN032977_23,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_23,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_23,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN032977_23,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN032977_23,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_23,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_23,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_23,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN032977_38,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN032977_38,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_38,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_38,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN032977
MN032977_38,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN032977_38,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_38,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN032977
MN033177_1,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN033177
MN033177_1,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN033177
MN033177_1,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN033177
MN033177_1,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN033177
MN033177_1,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN033177
MN033177_1,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN033177
MN033177_1,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN033177
MN032977_8,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN032977_8,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN032977_41,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_41,-,SignalP-noTM,SignalP_GRAM_NEGATIVE,-,-,MN032977
MN032977_41,-,SignalP-TM,SignalP_GRAM_POSITIVE,-,-,MN032977
MN032977_41,-,Hydrophobic region of a signal peptide.,Phobius,-,-,MN032977
MN032977_41,-,C-terminal region of a signal peptide.,Phobius,-,-,MN032977
MN032977_41,-,Signal peptide region,Phobius,-,-,MN032977
MN032977_41,-,N-terminal region of a signal peptide.,Phobius,-,-,MN032977
MN032977_41,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN033177_9,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN033177
MN033177_9,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN033177
MN033177_9,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN033177
MN033177_9,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN033177
MN032977_15,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN032977_50,-,N-terminal region of a signal peptide.,Phobius,-,-,MN032977
MN032977_50,-,C-terminal region of a signal peptide.,Phobius,-,-,MN032977
MN032977_50,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN032977_50,-,SignalP-noTM,SignalP_EUK,-,-,MN032977
MN032977_50,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_50,-,Hydrophobic region of a signal peptide.,Phobius,-,-,MN032977
MN032977_50,-,Signal peptide region,Phobius,-,-,MN032977
MN032977_14,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN033177_11,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN033177
MN032977_52,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN032977_52,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN033141_7,-,SignalP-TM,SignalP_GRAM_POSITIVE,-,-,MN033141
MN032977_39,-,SignalP-TM,SignalP_GRAM_POSITIVE,-,-,MN032977
MN032977_39,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN032977
MN032977_39,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_39,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN032977_39,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_39,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_39,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_46,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN032977
MN032977_46,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_46,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_46,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN033141_3,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,MN033141
MN033141_3,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,MN033141
MN033141_3,-,consensus disorder prediction,MobiDBLite,-,-,MN033141
MN033141_3,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN033141
MN033141_3,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,MN033141
MN033591_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN033591
MN033591_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN033591
MN033591_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN033591
MN033591_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN033591
MN033177_10,-,consensus disorder prediction,MobiDBLite,-,-,MN033177
MN033177_10,-,consensus disorder prediction,MobiDBLite,-,-,MN033177
MN033177_10,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN033177
MN033177_10,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN033177
MN033177_10,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN033177
MN032977_29,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN032977_29,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN032977_29,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN032977_29,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN033907_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN033907
MN033907_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN033907
MN033907_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN033907
MN033907_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN033907
MN033591_1,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN033591
MN033591_1,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN033591
MN033591_1,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN033591
MN033591_1,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,MN033591
MN033591_1,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN033591
MN033591_1,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN033591
MN033591_1,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN033591
MN032977_22,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_22,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_22,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN032977
MN032977_22,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN033141_6,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN033141
MN033141_6,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN033141
MN033141_6,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN033141
MN033141_6,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN033141
MN032977_6,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN032977_6,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN034422_15,Phospholipase A2 domain superfamily,Phospholipase A2 domain,Gene3D,-,-,MN034422
MN034422_15,Phospholipase A2 domain superfamily,"Phospholipase A2, PLA2",SUPERFAMILY,-,-,MN034422
MN034422_15,-,consensus disorder prediction,MobiDBLite,-,-,MN034422
MN034422_15,-,consensus disorder prediction,MobiDBLite,-,-,MN034422
MN034422_15,-,consensus disorder prediction,MobiDBLite,-,-,MN034422
MN034422_15,-,consensus disorder prediction,MobiDBLite,-,-,MN034422
MN032977_31,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN032977
MN032977_31,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_31,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN033141_2,-,consensus disorder prediction,MobiDBLite,-,-,MN033141
MN033141_2,-,consensus disorder prediction,MobiDBLite,-,-,MN033141
MN033177_14,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN033177
MN033177_14,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN033177
MN033177_14,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN033177
MN033177_14,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN033177
MN033177_14,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN033177
MN033177_14,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN033177
MN033177_14,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN033177
MN032977_4,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN032977_4,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN032977_4,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN033591_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN033591
MN033591_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN033591
MN033591_2,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN033591
MN033591_2,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN033591
MN033141_4,-,consensus disorder prediction,MobiDBLite,-,-,MN033141
MN033141_4,-,consensus disorder prediction,MobiDBLite,-,-,MN033141
MN033141_1,-,consensus disorder prediction,MobiDBLite,-,-,MN033141
MN033141_1,-,consensus disorder prediction,MobiDBLite,-,-,MN033141
MN033141_1,-,consensus disorder prediction,MobiDBLite,-,-,MN033141
MN034197_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN034197
MN034197_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN034197
MN034197_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN034197
MN034197_3,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN034197
MN034197_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN034197
MN034197_3,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN034197
MN032977_53,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN032977_53,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_53,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN032977
MN032977_53,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_53,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_53,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN032977_53,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN032977
MN032977_44,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the cytoplasm.",Phobius,-,-,MN032977
MN032977_44,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN032977_44,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_44,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_44,-,"Region of a membrane-bound protein predicted to be outside the membrane, in the extracellular region.",Phobius,-,-,MN032977
MN032977_44,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,Phobius,-,-,MN032977
MN032977_44,-,Region of a membrane-bound protein predicted to be embedded in the membrane.,TMHMM,-,-,MN032977
MN032977_13,-,consensus disorder prediction,MobiDBLite,-,-,MN032977
MN034197_2,"RNA-directed RNA polymerase, catalytic domain",RdRp of positive ssRNA viruses catalytic domain profile.,ProSiteProfiles,-,-,MN034197
MN034197_2,Reverse transcriptase/Diguanylate cyclase domain,-,Gene3D,-,-,MN034197
MN034197_2,DNA/RNA polymerase superfamily,DNA/RNA polymerases,SUPERFAMILY,,1B,MN034197
MN034197_2,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN034197
MN033907_6,"RNA-directed RNA polymerase, C-terminal domain",Viral RNA-dependent RNA polymerase,Pfam,,1B,MN033907
