ID,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,class,1A,1A-strand,1B,1B-strand,2,2-strand
PP211222,PP211222.1,MAG: Bastrovirus Rat/77 isolate Ra.norvegicus_bastro_5,15-MAY-2025,Bastrovirus Rat/77,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1712,"Zhang,X.-A., Hu,Z.-Y., Zhang,Y.-F. and Liu,W.",,Ra.norvegicus_bastro_5,China,,2018,,Rattus norvegicus,Yes,1,No,No,Mammalia,NA-NA,,1-1330,1.0,NA-NA,
PV351772,PV351772.1,"Astroviridae sp. isolate HN_K7f_51 hypothetical protein, Non-structural polyprotein 1AB, and Non-structural polyprotein 1A genes, complete cds",27-APR-2025,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6753,"Xu,J., Luo,X. and Huangfu,H.",,HN_K7f_51,China,,2024-06-20,spleen,Suncus murinus,No,3,No,No,Mammalia,4044-6750,-1.0,2596-4030,-1.0,NA-NA,
FJ890355,FJ890355.1,"Mamastrovirus 7 strain Bd1 RNA-dependent RNA polymerase gene, partial cds; and capsid protein gene, complete cds",08-APR-2025,Mamastrovirus 7,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus tursiopis,Mamastrovirus tursiopis,Astroviridae,3990,"Rivera,R., Nollens,H.H., Venn-Watson,S., Gulland,F.M.D. and Wellehan,J.F.X. Jr.",Bd1,,USA,,2007,feces,Tursiops truncatus (Bottlenose dolphin),No,2,No,No,,NA-NA,,1-1420,1.0,1412-3893,1.0
FJ571068,FJ571068.1,"Bat astrovirus Ha/Guangxi/LS11/2007 non-structural polyprotein 1AB (pol) gene, partial cds; and capsid protein precursor (ORF2) gene, complete cds",08-APR-2025,Bat astrovirus Ha/Guangxi/LS11/2007,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Bat astroviruses,Bat astroviruses,Astroviridae,4095,"Zhu,H.C., Chu,D.K.W., Liu,W., Dong,B.Q., Zhang,S.Y., Zhang,J.X., Li,L.F., Vijaykrishna,D., Smith,G.J.D., Chen,H.L., Poon,L.L.M., Peiris,J.S.M. and Guan,Y.",Ha/Guangxi/LS11/2007,LS11,China:Guangxi,,06-Jun-2007,,Hipposideros armiger,No,2,No,No,Mammalia,NA-NA,,0-1620,1.0,1570-3970,1.0
FJ571067,FJ571067.1,"Mamastrovirus 12 strain Tm/Guangxi/LD71/2007 non-structural polyprotein 1AB (pol) gene, partial cds; and capsid protein precursor (ORF2) gene, complete cds",08-APR-2025,Mamastrovirus 12,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus vespertilionis,Mamastrovirus vespertilionis,Astroviridae,3975,"Zhu,H.C., Chu,D.K.W., Liu,W., Dong,B.Q., Zhang,S.Y., Zhang,J.X., Li,L.F., Vijaykrishna,D., Smith,G.J.D., Chen,H.L., Poon,L.L.M., Peiris,J.S.M. and Guan,Y.",Tm/Guangxi/LD71/2007,LD71,China:Guangxi,,08-Jun-2007,,Taphozous melanopogon,No,2,No,No,Mammalia,NA-NA,,0-1641,1.0,1630-3913,1.0
FJ571066,FJ571066.1,"Mamastrovirus 15 strain Tm/Guangxi/LD77/2007 non-structural polyprotein 1AB (pol) gene, partial cds; and capsid protein precursor (ORF2) gene, complete cds",08-APR-2025,Mamastrovirus 15,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus taphozoi,Mamastrovirus taphozoi,Astroviridae,3875,"Zhu,H.C., Chu,D.K.W., Liu,W., Dong,B.Q., Zhang,S.Y., Zhang,J.X., Li,L.F., Vijaykrishna,D., Smith,G.J.D., Chen,H.L., Poon,L.L.M., Peiris,J.S.M. and Guan,Y.",Tm/Guangxi/LD77/2007,LD77,China:Guangxi,,08-Jun-2007,,Taphozous melanopogon,No,2,No,No,Mammalia,NA-NA,,0-1413,1.0,1415-3578,1.0
FJ571065,FJ571065.1,"Mamastrovirus 19 strain Tm/Guangxi/LD38/2007 non-structural polyprotein 1AB (pol) gene, partial cds; and capsid protein precursor (ORF2) gene, complete cds",08-APR-2025,Mamastrovirus 19,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus guangxiense,Mamastrovirus guangxiense,Astroviridae,4241,"Zhu,H.C., Chu,D.K.W., Liu,W., Dong,B.Q., Zhang,S.Y., Zhang,J.X., Li,L.F., Vijaykrishna,D., Smith,G.J.D., Chen,H.L., Poon,L.L.M., Peiris,J.S.M. and Guan,Y.",Tm/Guangxi/LD38/2007,LD38,China:Guangxi,,08-Jun-2007,,Taphozous melanopogon,No,2,No,No,Mammalia,NA-NA,,0-1569,1.0,1568-4106,1.0
PV247174,PV247174.1,"Mamastrovirus 3 isolate LUVAS/2023/PAstV_21, partial genome",16-MAR-2025,Mamastrovirus 3,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus suis,Mamastrovirus suis,Astroviridae,6769,"Panghal,R., Kumar,P., Minhas,S.K., Mehtani,R., Sheoran,D., Kalonia,S., Gupta,A.K., Chhabra,R., Jindal,N. and Kumar,P.",,LUVAS/2023/PAstV_21,India,,2023,feces,pig,No,3,No,No,Mammalia,47-2771,1.0,2707-4252,1.0,4244-6641,1.0
PV093029,PV093029.1,"Chicken astrovirus strain WHM13 ORF1a, ORF1b, and capsid protein genes, complete cds",05-MAR-2025,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7485,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.",WHM13,,China,,01-Jan-2023,feces,Neogale vison,No,3,No,No,Mammalia,10-3430,1.0,3411-4971,1.0,4995-7209,1.0
PV093021,PV093021.1,"Turkey astrovirus strain WHM13 ORF1a, ORF1b, and capsid protein genes, complete cds",05-MAR-2025,Turkey astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6966,"Li,C., Zhu,W., Liu,S., Niu,R., Qian,L., Holmes,E.C., Li,J. and Shi,W.",WHM13,,China,,01-Jan-2023,feces,Neogale vison,No,3,No,No,Mammalia,0-3300,1.0,3284-4829,1.0,4847-6860,1.0
PV088328,PV088328.1,"Astrovirus MLB3 strain MLB3/human/Brazil/AM029/2014, complete genome",05-MAR-2025,Astrovirus MLB3,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6117,"Alves,D.S., Teixeira,D.M., Sousa Junior,E.C., Deus,D.R., Lobo,P.S., Guerra,S.F.S., Resque,H.R., Soares,L.S., Gabbay,Y.B. and Siqueira,J.A.M.",MLB3/human/Brazil/AM029/2014,,Brazil,,Feb-2014,stool,Homo sapiens,No,3,No,No,Mammalia,14-2378,1.0,2314-3850,1.0,3842-6086,1.0
PQ541178,PQ541178.1,MAG: Murine astrovirus isolate Mu. setulosus_astro cRNA sequence,20-FEB-2025,Murine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5436,"Zhang,J., Zhang,X. and Liu,W.",,Mu. setulosus_astro,Sierra Leone,,2023,,Mus setulosus,Yes,2,No,No,Mammalia,1-1815,1.0,1815-3264,1.0,3256-5436,1.0
PQ678098,PQ678098.1,MAG: Longquan rodent astrovirus 1 isolate ZTYS-YNSC187 genomic sequence,10-FEB-2025,Longquan rodent astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4603,"Shi,M., Feng,Y. and Kuang,G.",,ZTYS-YNSC187,China: Yunnan,,2022,gut,Apodemus chevrieri,Yes,3,No,No,Mammalia,8-2708,1.0,2707-4156,1.0,4148-4603,1.0
PQ678015,PQ678015.1,MAG: Yunnan rodent mamastrovirus 5 isolate DHMS-YNSC01 genomic sequence,10-FEB-2025,Yunnan rodent mamastrovirus 5,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,7312,"Shi,M., Feng,Y. and Kuang,G.",,DHMS-YNSC01,China: Yunnan,,2021,gut,Rattus tanezumi,Yes,3,No,No,Mammalia,36-2832,1.0,2951-4310,1.0,4302-7296,1.0
PQ792554,PQ792554.1,MAG: Astroviridae sp. isolate Svole195_astro1 genomic sequence,03-FEB-2025,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,7037,"Lu,X. and Zhang,W.",,Svole195_astro1,China,,2023,,Neodon fuscus,Yes,3,No,No,Mammalia,50-2900,1.0,3070-4432,1.0,4400-7004,1.0
PQ792140,PQ792140.1,MAG: Astroviridae sp. isolate Sarthropod009_astro1 genomic sequence,03-FEB-2025,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4808,"Lu,X. and Zhang,W.",,Sarthropod009_astro1,China,,2023,,Helobdella robusta,Yes,3,No,No,Clitellata,125-1439,1.0,1642-2959,1.0,2980-4732,1.0
LC849253,LC849253.1,"Canine astrovirus AstV/Raccoon_dog/Kodo2023-51/2023/JPN genes for ORF1a, ORF1b and capsid protein, complete and partial cds",09-NOV-2024,Canine astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus,,Astroviridae,6552,"Oba,M. and Nagai,M.",,AstV/Raccoon_dog/Kodo2023-51/2023/JPN,Japan,,2023-11-27,feces,Nyctereutes procyonoides(racoon dog),No,3,No,No,,1-2686,1.0,2643-4173,1.0,3985-6484,1.0
PQ435248,PQ435248.1,"Mamastrovirus 2 isolate FeAstV/THA/CU34912/2023 polyprotein 1ab, polyprotein 1a, and capsid protein genes, complete cds",30-OCT-2024,Mamastrovirus 2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Mamastrovirus;Mamastrovirus felis,Mamastrovirus felis,Astroviridae,6675,"Thaw,Y.N., Charoenkul,K., Nasamran,C., Chamsai,E., Jairak,W., Phyu,E.M., Phyu,H.W., Chaiyawong,S. and Amonsin,A.",,FeAstV/THA/CU34912/2023,Thailand,,Dec-2023,rectal swab,Felis catus,No,3,No,No,Mammalia,0-2745,1.0,2687-4232,1.0,4224-6675,1.0
PQ220257,PQ220257.1,"MAG: Avastrovirus sp. isolate ASTV-1 ORF1a gene, partial cds; ORF1b gene, complete cds; and capsid protein gene, partial cds",09-OCT-2024,Avastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,5677,"Sun,Y. and Yang,S.",,ASTV-1,"China: Shigatse City, Tibet",,2020-12,feces,Anser indicus (Bar-headed goose),Yes,3,No,No,Aves,0-2037,1.0,2186-3575,1.0,3568-5677,1.0
PQ055541,PQ055541.1,MAG: Qianjiang astro-like virus 16 isolate QJ3TS3058 cRNA sequence,24-SEP-2024,Qianjiang astro-like virus 16,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1453,"Guo,G., Liu,Z., Weng,S. and He,J.",,QJ3TS3058,"China: Qianjiang, Hubei Province",,21-Mar-2021,,Procambarus clarkii,Yes,1,No,No,Malacostraca,NA-NA,,5-1453,1.0,NA-NA,
PQ055540,PQ055540.1,MAG: Qianjiang astro-like virus 15 isolate QJ3MG1028 cRNA sequence,24-SEP-2024,Qianjiang astro-like virus 15,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1555,"Guo,G., Liu,Z., Weng,S. and He,J.",,QJ3MG1028,"China: Qianjiang, Hubei Province",,21-Mar-2021,,Procambarus clarkii,Yes,1,No,No,Malacostraca,NA-NA,,122-1555,1.0,NA-NA,
PQ055538,PQ055538.1,MAG: Qianjiang astro-like virus 13 isolate QJ3TG3868 cRNA sequence,24-SEP-2024,Qianjiang astro-like virus 13,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4265,"Guo,G., Liu,Z., Weng,S. and He,J.",,QJ3TG3868,"China: Qianjiang, Hubei Province",,21-Mar-2021,,Procambarus clarkii,Yes,2,No,No,Malacostraca,NA-NA,,2954-4265,1.0,NA-NA,
PQ055537,PQ055537.1,MAG: Qianjiang astro-like virus 12 isolate QJ3TG2618 cRNA sequence,24-SEP-2024,Qianjiang astro-like virus 12,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5100,"Guo,G., Liu,Z., Weng,S. and He,J.",,QJ3TG2618,"China: Qianjiang, Hubei Province",,21-Mar-2021,,Procambarus clarkii,Yes,3,No,No,Malacostraca,NA-NA,,1887-3489,1.0,NA-NA,
PQ055536,PQ055536.1,MAG: Qianjiang astro-like virus 11 isolate QJ5DG1896 cRNA sequence,24-SEP-2024,Qianjiang astro-like virus 11,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5497,"Guo,G., Liu,Z., Weng,S. and He,J.",,QJ5DG1896,"China: Qianjiang, Hubei Province",,15-May-2021,,Procambarus clarkii,Yes,3,No,No,Malacostraca,NA-NA,,2005-3565,1.0,NA-NA,
PQ055535,PQ055535.1,MAG: Qianjiang astro-like virus 10 isolate QJ3DS5660 cRNA sequence,24-SEP-2024,Qianjiang astro-like virus 10,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5528,"Guo,G., Liu,Z., Weng,S. and He,J.",,QJ3DS5660,"China: Qianjiang, Hubei Province",,21-Mar-2021,,Procambarus clarkii,Yes,3,No,No,Malacostraca,NA-NA,,2365-3979,1.0,NA-NA,
PQ055533,PQ055533.1,MAG: Qianjiang astro-like virus 9 isolate QJ5MG2088 cRNA sequence,24-SEP-2024,Qianjiang astro-like virus 9,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5745,"Guo,G., Liu,Z., Weng,S. and He,J.",,QJ5MG2088,"China: Qianjiang, Hubei Province",,15-May-2021,,Procambarus clarkii,Yes,3,No,No,Malacostraca,NA-NA,,2151-3846,1.0,NA-NA,
PQ055532,PQ055532.1,MAG: Qianjiang astro-like virus 8 isolate QJ3DS2284 cRNA sequence,24-SEP-2024,Qianjiang astro-like virus 8,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5810,"Guo,G., Liu,Z., Weng,S. and He,J.",,QJ3DS2284,"China: Qianjiang, Hubei Province",,21-Mar-2021,,Procambarus clarkii,Yes,3,No,No,Malacostraca,NA-NA,,2495-3995,1.0,NA-NA,
PQ055529,PQ055529.1,MAG: Qianjiang astro-like virus 6 isolate QJ3MS35 cRNA sequence,24-SEP-2024,Qianjiang astro-like virus 6,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6260,"Guo,G., Liu,Z., Weng,S. and He,J.",,QJ3MS35,"China: Qianjiang, Hubei Province",,21-Mar-2021,,Procambarus clarkii,Yes,2,No,No,Malacostraca,NA-NA,,4443-6219,1.0,NA-NA,
PQ055528,PQ055528.1,MAG: Qianjiang astro-like virus 5 isolate QJ3TS2970 cRNA sequence,24-SEP-2024,Qianjiang astro-like virus 5,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6295,"Guo,G., Liu,Z., Weng,S. and He,J.",,QJ3TS2970,"China: Qianjiang, Hubei Province",,21-Mar-2021,,Procambarus clarkii,Yes,3,No,No,Malacostraca,NA-NA,,2917-4876,1.0,NA-NA,
PQ055527,PQ055527.1,MAG: Qianjiang astro-like virus 4 isolate QJ3TS1993 cRNA sequence,24-SEP-2024,Qianjiang astro-like virus 4,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6333,"Guo,G., Liu,Z., Weng,S. and He,J.",,QJ3TS1993,"China: Qianjiang, Hubei Province",,21-Mar-2021,,Procambarus clarkii,Yes,1,No,No,Malacostraca,NA-NA,,23-6293,1.0,NA-NA,
PQ055526,PQ055526.1,MAG: Qianjiang astro-like virus 3 isolate QJ5DG2895 cRNA sequence,24-SEP-2024,Qianjiang astro-like virus 3,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6386,"Guo,G., Liu,Z., Weng,S. and He,J.",,QJ5DG2895,"China: Qianjiang, Hubei Province",,15-May-2021,,Procambarus clarkii,Yes,4,No,No,Malacostraca,NA-NA,,2682-4314,1.0,371-2669,1.0
OR367608,OR367608.1,MAG: Astroviridae sp. isolate YakFeces06-13688 genomic sequence,09-SEP-2024,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6309,"Lu,X. and Zhang,W.",,YakFeces06-13688,China,,May-2021,,Bos mutus,Yes,3,No,No,Mammalia,178-2626,1.0,2574-4092,1.0,4084-6309,1.0
OR367606,OR367606.1,MAG: Astroviridae sp. isolate YakFeces06-11940 genomic sequence,09-SEP-2024,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6110,"Lu,X. and Zhang,W.",,YakFeces06-11940,China,,May-2021,,Bos mutus,Yes,1,No,No,Mammalia,NA-NA,,2669-4028,1.0,NA-NA,
OR367603,OR367603.1,MAG: Astroviridae sp. isolate YakFeces06-1944 genomic sequence,09-SEP-2024,Astroviridae sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4415,"Lu,X. and Zhang,W.",,YakFeces06-1944,China,,May-2021,,Bos mutus,Yes,1,No,No,Mammalia,NA-NA,,540-1995,-1.0,NA-NA,
PP623814,PP623814.1,"Avian avastrovirus 4 isolate MP22-196, complete genome",19-AUG-2024,Avian avastrovirus 4,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6566,"Ng,Y.M.",,MP22-196,China: Hong Kong,,09-Nov-2022,,Mareca falcata,No,3,No,No,Aves,14-2825,1.0,2815-4315,1.0,4296-6345,1.0
PQ110289,PQ110289.1,MAG: Oryctes associated astro-like virus isolate Or_elegans1_agamemnon2 genomic sequence,07-AUG-2024,Oryctes associated astro-like virus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,2228,"Hgeazy,A. and Etebari,K.",,Or_elegans1_agamemnon2,Iran,,16-Jan-2024,date plam field,Oryctes sp.,Yes,0,No,No,,2-883,1.0,834-2226,1.0,NA-NA,
PP478076,PP478076.1,"Avian astrovirus isolate PL_pigeon_24/2023, complete genome",03-AUG-2024,Avian astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6833,"Lukaszuk,E., Dziewulska,D., Custer,J., Kraberger,S., Varsani,A. and Stenzel,T.",,PL_pigeon_24/2023,Poland,,Apr-2023,cloacal swab,carrier pigeon,No,2,No,No,Aves,12-3027,1.0,3026-4550,1.0,4568-6590,1.0
MW588064,MW588064.1,"Mute swan feces associated avastrovius 2 strain Abbotsbury/A/2016 ORF1a, ORF1b, and ORF2 genes, complete cds",19-JUL-2024,Mute swan feces associated avastrovius 2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7274,"Francois,S. and Hill,S.C.",Abbotsbury/A/2016,,United Kingdom,,,Cygnus olor fecal material,,No,3,No,No,,9-3288,1.0,3437-4820,1.0,4813-7069,1.0
MW588062,MW588062.1,"Mute swan feces associated avastrovius 1 strain Abbotsbury/A/2016 ORF1a, ORF1b, and ORF2 genes, complete cds",19-JUL-2024,Mute swan feces associated avastrovius 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7249,"Francois,S. and Hill,S.C.",Abbotsbury/A/2016,,United Kingdom,,,Cygnus olor fecal material,,No,3,No,No,,24-3507,1.0,3488-5048,1.0,5071-7246,1.0
PP711188,PP711188.1,MAG: Hetplan gecko astrovirus isolate Hplan-A_304122 genomic sequence,22-JUN-2024,Hetplan gecko astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,7172,"Mahar,J.E., Wille,M., Harvey,E., Moritz,C.C. and Holmes,E.C.",,Hplan-A_304122,Australia: Kimberley region Western Australia,,2017,"pooled lizard liver RNA, sampled in situ",Heteronotia planiceps,Yes,3,No,No,Lepidosauria,2-3119,1.0,3115-4630,1.0,4663-7018,1.0
PP590730,PP590730.1,"MAG: Muraenolepis astrovirus isolate MRL_L ORF1b protein gene, partial cds",12-JUN-2024,Muraenolepis astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,1387,"Grimwood,R.M. and Geoghegan,J.L.",,MRL_L,Antarctica,,Dec-2021/Jan-2022,gill tissue pool,Muraenolepis sp.,Yes,1,No,No,Actinopteri,NA-NA,,0-1387,1.0,NA-NA,
PP711880,PP711880.1,MAG: Rousettus bat astrovirus isolate 8A/Uganda/UGR87/2019 genomic sequence,05-JUN-2024,Rousettus bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6589,"Hu,B.",,8A/Uganda/UGR87/2019,Uganda,,2019,,Rousettus aegyptiacus,Yes,3,No,No,Mammalia,0-2736,1.0,2849-4196,1.0,4195-6481,1.0
PP711877,PP711877.1,MAG: Miniopterus bat astrovirus isolate 5A/Kenya/BAT0738/2015 genomic sequence,05-JUN-2024,Miniopterus bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6677,"Hu,B.",,5A/Kenya/BAT0738/2015,Kenya,,2015,,Miniopterus sp. clade 10 TD-2020,Yes,3,No,No,Mammalia,32-2576,1.0,2707-4108,1.0,4120-6364,1.0
PP711874,PP711874.1,MAG: Miniopterus bat astrovirus isolate 4A/Kenya/BAT3003/2015 genomic sequence,05-JUN-2024,Miniopterus bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6680,"Hu,B.",,4A/Kenya/BAT3003/2015,Kenya,,2015,,Miniopterus sp. B76,Yes,3,No,No,Mammalia,0-2604,1.0,2633-4133,1.0,4147-6376,1.0
PP711873,PP711873.1,MAG: Miniopterus bat astrovirus isolate 3A/Kenya/BAT0736/2015 genomic sequence,05-JUN-2024,Miniopterus bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6722,"Hu,B.",,3A/Kenya/BAT0736/2015,Kenya,,2015,,Miniopterus sp. clade 10 TD-2020,Yes,3,No,No,Mammalia,1-2602,1.0,2598-4131,1.0,4114-6718,1.0
PP711863,PP711863.1,MAG: Miniopterus bat astrovirus isolate 18A/Kenya/BAT0736/2015 genomic sequence,05-JUN-2024,Miniopterus bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,3412,"Hu,B.",,18A/Kenya/BAT0736/2015,Kenya,,2015,,Miniopterus sp. clade 10 TD-2020,Yes,3,No,No,Mammalia,0-1512,1.0,1523-3062,1.0,3039-3412,1.0
PP711856,PP711856.1,MAG: Mops bat astrovirus isolate 13A/Kenya/BAT1552/2015 genomic sequence,05-JUN-2024,Mops bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6385,"Hu,B.",,13A/Kenya/BAT1552/2015,Kenya,,2015,,Mops condylurus,Yes,3,No,No,Mammalia,1-2584,1.0,2715-4080,1.0,4083-6243,1.0
OQ236139,OQ236139.1,MAG: Bat astrovirus isolate AstV/GD/L95.21/2022 genomic sequence,05-JUN-2024,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6590,"Chen,R.",,AstV/GD/L95.21/2022,China,,Apr-2022,,Rhinolophus sinicus,Yes,2,No,No,Mammalia,NA-NA,,2587-4168,1.0,4103-6509,1.0
OQ236134,OQ236134.1,MAG: Bat astrovirus isolate AstV/GZ/L162.18b/2022 genomic sequence,05-JUN-2024,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,5795,"Chen,R.",,AstV/GZ/L162.18b/2022,China,,Aug-2022,,Myotis ricketti,Yes,3,No,No,Mammalia,0-1836,1.0,2066-3392,1.0,3336-5478,1.0
OQ236128,OQ236128.1,MAG: Bat astrovirus isolate AstV/SC/L74.18c/2021 genomic sequence,05-JUN-2024,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6708,"Chen,R.",,AstV/SC/L74.18c/2021,China,,Dec-2021,,Hipposideros armiger,Yes,3,No,No,Mammalia,1662-2667,1.0,2684-4256,1.0,4197-6597,1.0
OQ236125,OQ236125.1,MAG: Bat astrovirus isolate AstV/CQ/L76.18e/2021 genomic sequence,05-JUN-2024,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4823,"Chen,R.",,AstV/CQ/L76.18e/2021,China,,Dec-2021,,Hipposideros armiger,Yes,3,No,No,Mammalia,223-1216,1.0,1220-2777,1.0,2733-4823,1.0
OQ236124,OQ236124.1,MAG: Bat astrovirus isolate AstV/CQ/L76.18d/2021 genomic sequence,05-JUN-2024,Bat astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6747,"Chen,R.",,AstV/CQ/L76.18d/2021,China,,Dec-2021,,Hipposideros armiger,Yes,3,No,No,Mammalia,1668-2700,1.0,2711-4265,1.0,4224-6633,1.0
