ID,Version,GenBank title,Release date,Organism name,Virus Lineage,Species,Family,Length,Submitters,Strain,Isolate_x,Geo location,Country,Collection date,Tissue/Specimen/Source,Host,Environmental,CDS count,Artificial,UNVERIFIED,1A,1A-strand,1B,1B-strand,2,2-strand,class
MW588063,MW588063.1,"Mute swan feces associated avastrovius 1 strain Abbotsbury/B/2016 ORF1a, ORF1b, and ORF2 genes, complete cds",19-JUL-2024,Mute swan feces associated avastrovius 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7269.0,"Francois,S. and Hill,S.C.",Abbotsbury/B/2016,,United Kingdom,,,Cygnus olor fecal material,,No,3.0,No,No,37-3520,1.0,3501-5061,1.0,5083-7207,1.0,
MW588062,MW588062.1,"Mute swan feces associated avastrovius 1 strain Abbotsbury/A/2016 ORF1a, ORF1b, and ORF2 genes, complete cds",19-JUL-2024,Mute swan feces associated avastrovius 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7249.0,"Francois,S. and Hill,S.C.",Abbotsbury/A/2016,,United Kingdom,,,Cygnus olor fecal material,,No,3.0,No,No,24-3507,1.0,3488-5048,1.0,5071-7246,1.0,
PP966939,PP966939.1,"Goose astrovirus 2 isolate GZ2301, complete genome",14-JUL-2024,Goose astrovirus 2,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7060.0,"Zhang,L., Ye,Q., Zhan,X., Zhang,C., Liu,T. and Liu,W.",,GZ2301,China,,2023,,goose,No,3.0,No,No,18-3273,1.0,3263-4817,1.0,4835-6950,1.0,Aves
PP711188,PP711188.1,MAG: Hetplan gecko astrovirus isolate Hplan-A_304122 genomic sequence,22-JUN-2024,Hetplan gecko astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,7172.0,"Mahar,J.E., Wille,M., Harvey,E., Moritz,C.C. and Holmes,E.C.",,Hplan-A_304122,Australia: Kimberley region Western Australia,,2017,"pooled lizard liver RNA, sampled in situ",Heteronotia planiceps,Yes,3.0,No,No,2-3119,1.0,3115-4630,1.0,4663-7018,1.0,Lepidosauria
PP763758,PP763758.1,"Goose astrovirus 1 isolate AAstV/Goose/CHN/2023/C102, complete genome",14-MAY-2024,Goose astrovirus 1,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7295.0,"Chen,G., Zhang,H. and Hao,X.",,AAstV/Goose/CHN/2023/C102,China: Sichuan province,,Jun-2023,liver,goose,No,3.0,No,No,22-3304,1.0,3288-4839,1.0,4832-6992,1.0,Aves
PP444710,PP444710.1,"Goose astrovirus isolate GAstV GDCS Goose 2023, complete sequence",16-MAR-2024,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7166.0,"Xu,P., Huang,W. and Qin,Y.",,GAstV GDCS Goose 2023,China,,2023,,goose,No,3.0,No,No,18-3273,1.0,3263-4814,1.0,4832-6947,1.0,Aves
PP444709,PP444709.1,"Goose astrovirus isolate GAstV_GXNN_Goose_2023, complete sequence",16-MAR-2024,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7166.0,"Xu,P., Huang,W. and Qin,Y.",,GAstV_GXNN_Goose_2023,China,,2023,,goose,No,3.0,No,No,18-3273,1.0,3263-4814,1.0,4832-6947,1.0,Aves
PP352010,PP352010.1,MAG: Astrovirus sp. isolate Hunan/CHN/2022 genomic sequence,04-MAR-2024,Astrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6191.0,"Li,C.X., He,B., Yi,L. and Hu,Y.Z.",,Hunan/CHN/2022,China: Hunan,,2022,liver,Pelophylax nigromaculatus,Yes,2.0,No,No,60-2689,1.0,2690-4088,1.0,4111-6191,1.0,Amphibia
PP108251,PP108251.1,"Goose astrovirus strain AAstV/Goose/CHN/2023/C1, complete genome",01-FEB-2024,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7261.0,"Chen,G., Zhang,H. and Shi,l.",AAstV/Goose/CHN/2023/C1,,China: Sichuan province,,15-Aug-2023,liver,goose,No,3.0,No,No,22-3304,1.0,3288-4839,1.0,4832-6983,1.0,Aves
OR965521,OR965521.1,"Goose astrovirus isolate AAstV/Goose/CHN/2023/MG-23, complete genome",26-DEC-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7175.0,"Yang,L., Yang,Q., Ding,Y. and Yang,K.",,AAstV/Goose/CHN/2023/MG-23,China,,Jul-2023,,goose,No,3.0,No,No,10-3265,1.0,3255-4806,1.0,4824-6939,1.0,Aves
OR958817,OR958817.1,"Goose astrovirus isolate AAstV/Goose/CHN/2023/HR2306/1, complete genome",26-DEC-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7175.0,"Ding,Y., Yang,Q. and Yang,L.",,AAstV/Goose/CHN/2023/HR2306/1,China,,Jun-2023,,goose,No,3.0,No,No,10-3265,1.0,3255-4806,1.0,4824-6939,1.0,Aves
OR906208,OR906208.1,"Goose astrovirus isolate HNxy2111, complete genome",23-DEC-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7175.0,"He,S., Dong,J. and Jiao,F.",,HNxy2111,China,,2021,gosling kidney,goose,No,3.0,No,No,10-3265,1.0,3255-4806,1.0,4824-6939,1.0,Aves
OR906207,OR906207.1,"Goose astrovirus isolate HNxy2106, complete genome",23-DEC-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7175.0,"He,S., Dong,J. and Jiao,F.",,HNxy2106,China,,2021,gosling kidney,goose,No,3.0,No,No,10-3265,1.0,3255-4806,1.0,4824-6939,1.0,Aves
OR924093,OR924093.1,"Goose astrovirus strain L1002, complete genome",18-DEC-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7308.0,"Deng,C., Luo,J. and Li,Y.",L1002,,China,,10-May-2021,Throat and anal swabs,Goose,No,3.0,No,No,22-3304,1.0,3294-4839,1.0,4868-6983,1.0,Aves
OR924092,OR924092.1,"Duck astrovirus strain G2174, complete genome",18-DEC-2023,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7287.0,"Deng,C., Zhang,F., Luo,J. and Li,Y.",G2174,,China,,02-Nov-2021,Throat and anal swabs,Duck,No,3.0,No,No,12-3375,1.0,3365-4910,1.0,4926-7110,1.0,Aves
OR924091,OR924091.1,"Duck astrovirus strain X1257, complete genome",18-DEC-2023,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7287.0,"Deng,C., Zhang,F., Luo,J. and Li,Y.",X1257,,China,,24-Mar-2021,Throat and anal swabs,Goose,No,3.0,No,No,12-3375,1.0,3365-4910,1.0,4926-7110,1.0,Aves
OR924090,OR924090.1,"Duck astrovirus strain X2250, complete genome",18-DEC-2023,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7287.0,"Deng,C., Zhang,F., Luo,J. and Li,Y.",X2250,,China,,09-Nov-2021,Throat and anal swabs,Goose,No,3.0,No,No,12-3375,1.0,3365-4910,1.0,4926-7110,1.0,Aves
OR924089,OR924089.1,"Duck astrovirus CPH strain NM1002, complete genome",18-DEC-2023,Duck astrovirus CPH,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7463.0,"Deng,C., Luo,J. and Li,Y.",NM1002,,China,,23-Mar-2021,tissue,Duck,No,3.0,No,No,19-3445,1.0,3435-4986,1.0,5006-7244,1.0,Aves
OR924088,OR924088.1,"Duck astrovirus CPH strain NM1001, complete genome",18-DEC-2023,Duck astrovirus CPH,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7463.0,"Deng,C., Luo,J. and Li,Y.",NM1001,,China,,23-Mar-2021,tissue,Duck,No,3.0,No,No,19-3445,1.0,3435-4986,1.0,5006-7244,1.0,Aves
OR924087,OR924087.1,"Duck astrovirus CPH strain SD1002, complete genome",18-DEC-2023,Duck astrovirus CPH,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7463.0,"Deng,C., Luo,J. and Li,Y.",SD1002,,China,,23-Mar-2021,tissue,Duck,No,3.0,No,No,19-3445,1.0,3435-4986,1.0,5006-7244,1.0,Aves
OR924086,OR924086.1,"Duck astrovirus CPH strain SD1001, complete genome",18-DEC-2023,Duck astrovirus CPH,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7463.0,"Deng,C., Luo,J. and Li,Y.",SD1001,,China,,23-Mar-2021,tissue,Duck,No,3.0,No,No,19-3445,1.0,3435-4986,1.0,5006-7244,1.0,Aves
OR907134,OR907134.1,"Goose astrovirus strain G2332, complete genome",18-DEC-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7299.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",G2332,,China,,26-Oct-2022,Throat and anal swabs,Goose,No,3.0,No,No,22-3304,1.0,3294-4839,1.0,4868-6992,1.0,Aves
OR907133,OR907133.1,"Goose astrovirus strain C1357, complete genome",18-DEC-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7288.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",C1357,,China,,21-Mar-2023,Throat and anal swabs,Goose,No,3.0,No,No,22-3304,1.0,3294-4839,1.0,4868-6983,1.0,Aves
OR907132,OR907132.1,"Goose astrovirus strain A1082, complete genome",18-DEC-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7288.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",A1082,,China,,07-Mar-2023,Throat and anal swabs,Goose,No,3.0,No,No,22-3304,1.0,3294-4839,1.0,4868-6983,1.0,Aves
OR907131,OR907131.1,"Goose astrovirus strain C1330, complete genome",18-DEC-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7288.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",C1330,,China,,21-Mar-2023,Throat and anal swabs,Goose,No,3.0,No,No,22-3304,1.0,3294-4839,1.0,4868-6983,1.0,Aves
OR907130,OR907130.1,"Duck astrovirus CPH strain Q3001, complete genome",18-DEC-2023,Duck astrovirus CPH,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7463.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",Q3001,,China,,22-May-2022,tissue,Duck,No,3.0,No,No,19-3445,1.0,3435-4986,1.0,5006-7244,1.0,Aves
OR907129,OR907129.1,"Duck astrovirus CPH strain T119, complete genome",18-DEC-2023,Duck astrovirus CPH,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7463.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",T119,,China,,01-Apr-2023,tissue,Duck,No,3.0,No,No,19-3445,1.0,3435-4986,1.0,5006-7244,1.0,Aves
OR907128,OR907128.1,"Duck astrovirus CPH strain T129, complete genome",18-DEC-2023,Duck astrovirus CPH,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7463.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",T129,,China,,04-Apr-2023,tissue,Duck,No,3.0,No,No,19-3445,1.0,3435-4986,1.0,5006-7244,1.0,Aves
OR907127,OR907127.1,"Duck astrovirus CPH strain C1350, complete genome",18-DEC-2023,Duck astrovirus CPH,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7463.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",C1350,,China,,21-Mar-2023,Throat and anal swabs,Goose,No,3.0,No,No,19-3445,1.0,3435-4986,1.0,5006-7244,1.0,Aves
OR907126,OR907126.1,"Duck astrovirus CPH strain T90, complete genome",18-DEC-2023,Duck astrovirus CPH,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7463.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",T90,,China,,29-Mar-2023,tissue,Duck,No,3.0,No,No,19-3445,1.0,3435-4986,1.0,5006-7244,1.0,Aves
OR907125,OR907125.1,"Duck astrovirus CPH strain T221, complete genome",18-DEC-2023,Duck astrovirus CPH,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7463.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",T221,,China,,10-May-2023,tissue,Duck,No,3.0,No,No,19-3445,1.0,3435-4986,1.0,5006-7244,1.0,Aves
OR902765,OR902765.1,"Goose astrovirus strain U50, complete genome",18-DEC-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7177.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",U50,,China,,19-Jun-2023,tissue,goose,No,3.0,No,No,13-3268,1.0,3258-4809,1.0,4827-6942,1.0,Aves
OR902764,OR902764.1,"Goose astrovirus strain U52, complete genome",18-DEC-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7177.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",U52,,China,,21-Jun-2023,tissue,goose,No,3.0,No,No,13-3268,1.0,3258-4809,1.0,4827-6942,1.0,Aves
OR902763,OR902763.1,"Goose astrovirus strain U56, complete genome",18-DEC-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7177.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",U56,,China,,25-Jun-2023,tissue,goose,No,3.0,No,No,13-3268,1.0,3258-4809,1.0,4827-6942,1.0,Aves
OR902762,OR902762.1,"Goose astrovirus strain U61, complete genome",18-DEC-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7177.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",U61,,China,,10-Jul-2023,tissue,goose,No,3.0,No,No,13-3268,1.0,3258-4809,1.0,4827-6942,1.0,Aves
OR902761,OR902761.1,"Goose astrovirus strain Q2001, complete genome",18-DEC-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7177.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",Q2001,,China,,21-Oct-2023,tissue,goose,No,3.0,No,No,13-3268,1.0,3258-4809,1.0,4827-6942,1.0,Aves
OR902760,OR902760.1,"Duck astrovirus strain C1365, complete genome",18-DEC-2023,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7287.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",C1365,,China,,20-Mar-2023,Throat and anal swabs,goose,No,3.0,No,No,12-3375,1.0,3365-4910,1.0,4926-7110,1.0,Aves
OR902759,OR902759.1,"Duck astrovirus strain C1388, complete genome",18-DEC-2023,Duck astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus;Avastrovirus intestini,Avastrovirus intestini,Astroviridae,7287.0,"Li,Y., Luo,J., Zhang,F.Y., Shang,J.J., Feng,Y.J., Meng,G., Deng,C.R., Jiang,W.M., Yu,X.H., Liu,G.H. and Liu,H.L.",C1388,,China,,20-May-2023,Throat and anal swabs,goose,No,3.0,No,No,12-3375,1.0,3365-4910,1.0,4926-7110,1.0,Aves
OQ986679,OQ986679.1,MAG: Avian astrovirus 3 isolate GEIG genomic sequence,10-DEC-2023,Avian astrovirus 3,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6531.0,"French,R.K., Anderson,S.H., Cain,K.E., Greene,T.C., Minor,M., Miskelly,C.M., Montoya,J.M., Muller,C.G., Taylor,M.W., Recovery Team,K. and Holmes,E.C.",,GEIG,New Zealand: Pukenui/Anchor Island,,Feb-2021/Mar-2021,cloacal swab,,Yes,3.0,No,No,0-2553,1.0,2648-4040,1.0,3834-6327,1.0,
OQ986609,OQ986609.1,MAG: Avian astrovirus 9 isolate RHFU genomic sequence,10-DEC-2023,Avian astrovirus 9,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6664.0,"French,R.K., Anderson,S.H., Cain,K.E., Greene,T.C., Minor,M., Miskelly,C.M., Montoya,J.M., Muller,C.G., Taylor,M.W., Recovery Team,K. and Holmes,E.C.",,RHFU,New Zealand: Pukenui/Anchor Island,,Feb-2021/Mar-2021,cloacal swab,,Yes,3.0,No,No,4037-6656,-1.0,2490-3900,-1.0,176-2537,-1.0,
OQ986608,OQ986608.1,MAG: Avian astrovirus 5 isolate RHFU genomic sequence,10-DEC-2023,Avian astrovirus 5,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6520.0,"French,R.K., Anderson,S.H., Cain,K.E., Greene,T.C., Minor,M., Miskelly,C.M., Montoya,J.M., Muller,C.G., Taylor,M.W., Recovery Team,K. and Holmes,E.C.",,RHFU,New Zealand: Pukenui/Anchor Island,,Feb-2021/Mar-2021,cloacal swab,,Yes,3.0,No,No,36-2637,1.0,2732-4127,1.0,4130-6443,1.0,
OQ986607,OQ986607.1,MAG: Avian astrovirus 4 isolate GEIG genomic sequence,10-DEC-2023,Avian astrovirus 4,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6631.0,"French,R.K., Anderson,S.H., Cain,K.E., Greene,T.C., Minor,M., Miskelly,C.M., Montoya,J.M., Muller,C.G., Taylor,M.W., Recovery Team,K. and Holmes,E.C.",,GEIG,New Zealand: Pukenui/Anchor Island,,Feb-2021/Mar-2021,cloacal swab,,Yes,3.0,No,No,164-2726,1.0,2701-4216,1.0,4194-6450,1.0,
OQ986677,OQ986677.1,MAG: Avian astrovirus 15 isolate GEIG genomic sequence,10-DEC-2023,Avian astrovirus 15,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,4789.0,"French,R.K., Anderson,S.H., Cain,K.E., Greene,T.C., Minor,M., Miskelly,C.M., Montoya,J.M., Muller,C.G., Taylor,M.W., Recovery Team,K. and Holmes,E.C.",,GEIG,New Zealand: Pukenui/Anchor Island,,Feb-2021/Mar-2021,cloacal swab,,Yes,3.0,No,No,2-770,1.0,772-2362,1.0,2066-4607,1.0,
OQ986606,OQ986606.1,MAG: Avian astrovirus 14 isolate GEIG genomic sequence,10-DEC-2023,Avian astrovirus 14,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae,,Astroviridae,6655.0,"French,R.K., Anderson,S.H., Cain,K.E., Greene,T.C., Minor,M., Miskelly,C.M., Montoya,J.M., Muller,C.G., Taylor,M.W., Recovery Team,K. and Holmes,E.C.",,GEIG,New Zealand: Pukenui/Anchor Island,,Feb-2021/Mar-2021,cloacal swab,,Yes,3.0,No,No,37-2632,1.0,2655-4254,1.0,4123-6469,1.0,
OP946449,OP946449.1,"Goose astrovirus isolate GAstV-SDHZ, complete genome",29-OCT-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7166.0,"Wei,F., Tang,Y. and Diao,Y.",,GAstV-SDHZ,China,,2022,,laying hens,No,3.0,No,No,13-3268,1.0,3258-4809,1.0,4827-6942,1.0,Aves
OR571426,OR571426.1,"Chicken astrovirus isolate SDAU2022-3, complete genome",22-OCT-2023,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7331.0,"Bi,X.",,SDAU2022-3,China,,2023,,chicken,No,3.0,No,No,21-3441,1.0,3422-4982,1.0,5006-7223,1.0,Aves
OR286522,OR286522.1,"Chicken astrovirus isolate SDAU2022-1, complete genome",18-OCT-2023,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7331.0,"Bi,X.",,SDAU2022-1,China,,2022,,chicken,No,3.0,No,No,21-3441,1.0,3422-4982,1.0,5006-7223,1.0,Aves
OR286521,OR286521.1,"Chicken astrovirus isolate SDAU2022-2, complete genome",18-OCT-2023,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7331.0,"Bi,X.",,SDAU2022-2,China,,2022,,chicken,No,3.0,No,No,21-3441,1.0,3422-4982,1.0,5006-7223,1.0,Aves
OR545548,OR545548.1,"Chicken astrovirus isolate AAstV/Chicken/CHN/2022/SQ2201, complete genome",17-OCT-2023,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7542.0,"Qian,K., Qian,H. and Qin,A.",,AAstV/Chicken/CHN/2022/SQ2201,China,,2022,,chicken,No,3.0,No,No,10-3430,1.0,3411-4971,1.0,4995-7209,1.0,Aves
OR351273,OR351273.1,"Chicken astrovirus isolate JS202103, complete genome",27-SEP-2023,Chicken astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7507.0,"Yin,L. and Yu,S.",,JS202103,China,,2021,LMH cells,Gallus gallus,No,3.0,No,No,21-3444,1.0,3425-4985,1.0,5009-7226,1.0,Aves
OR211592,OR211592.1,"Goose astrovirus isolate GAstV-HBLY, complete genome",13-SEP-2023,Goose astrovirus,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,7308.0,"Ji,J.S., Yuan,W.Z. and Zhao,K.",,GAstV-HBLY,China,,2023,,goose,No,3.0,No,No,22-3304,1.0,3294-4839,1.0,4868-6983,1.0,Aves
MW826483,MW826483.1,Avastrovirus sp. isolate YSN01 genomic sequence,05-SEP-2023,Avastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6948.0,"Zhu,W., Huang,Y. and Yang,J.",,YSN01,China,,Jul-2019,feces,bird,No,3.0,No,No,110-2807,1.0,2932-4294,1.0,4312-6829,1.0,Aves
MW826482,MW826482.1,Avastrovirus sp. isolate YSN02 genomic sequence,05-SEP-2023,Avastrovirus sp.,Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes;Stellavirales;Astroviridae;Avastrovirus,,Astroviridae,6835.0,"Zhu,W., Huang,Y. and Yang,J.",,YSN02,China,,Jul-2019,feces,bird,No,3.0,No,No,46-2788,1.0,2988-4377,1.0,4291-6646,1.0,Aves
