Position in alignment;Recombination breakpoint number (200nt win);Upper 99% CI;Lower 99% CI;Upper 95% CI;Lower 95% CI;A;B;C;D;E
2649;3;828885;4;713761;0;3;732872;0;;
2651;3;797156;4;712289;0;3;727181;0;;
2653;3;793699;4;706653;0;3;746262;0;;
2655;3;785578;4;705287;0;3;718295;0;;
2657;3;780401;4;774119;0;3;648551;0;;
2659;3;771612;4;823239;0;3;645087;0;;
2661;3;762897;4;840294;0;3;634719;0;;
2663;3;756594;4;823678;0;3;603903;0;;
2665;3;75455;4;857559;0;3;561832;0;;
2667;3;752185;4;934111;0;3;564029;0;;
2669;3;749199;5;26604;0;3;567213;0;;
2671;3;746164;5;94255;0;3;58551;0;;
2673;3;743255;5;143452;0;3;640589;0;;
2675;3;740317;5;178564;0;3;729337;0;;
2677;3;737364;5;194416;0;3;738804;0;;
2679;3;73449;5;211976;0;3;758789;0;;
2681;3;732141;5;231827;0;3;833942;0;;
2683;3;73153;5;200553;0;3;826792;0;;
2685;3;726029;5;193839;0;3;790479;0;;
2687;3;718667;5;172342;0;3;765296;0;;
2689;3;713821;5;134748;0;3;8123;0;;
2691;3;709137;5;127056;0;3;803451;0;;
2693;3;698598;5;118305;0;3;787038;0;;
2695;3;682893;5;101536;0;3;679346;0;;
2697;3;657824;5;85712;0;3;75327;0;;
2699;3;640312;5;254932;0;3;850103;0;;
2701;3;630742;5;279299;0;3;870466;0;;
2703;3;621193;5;309811;0;3;888109;0;;
2705;3;611672;5;147159;0;3;903217;0;;
2707;3;600549;5;91219;0;3;904639;0;;
2709;3;45526;5;8439;0;3;861521;0;;
2711;3;276112;5;13166;0;3;778573;0;;
2713;3;244049;5;26209;0;3;74178;0;;
2715;3;21206;5;66848;0;3;738314;0;;
2717;3;173979;5;64437;0;3;747398;0;;
2719;3;128536;5;22562;0;3;808035;0;;
2721;3;103907;5;28134;0;3;906944;0;;
2723;3;7933;5;48287;0;3;911476;0;;
2725;3;55994;5;40155;0;3;91872;0;;
2727;3;34444;5;41758;0;3;954459;4.440892E-16;;
2729;2;949328;5;170393;0;3;990686;4.440892E-16;;
2731;2;796064;5;163383;0;4;73508;1.776357E-15;;
2733;2;737381;5;43008;0;4;61075;2.220446E-15;;
2735;2;708333;5;21951;0;4;66922;2.220446E-15;;
2737;2;706252;5;28117;0;4;53664;1.776357E-15;;
2739;2;729159;5;26895;0;4;46585;2.220446E-15;;
2741;2;761999;5;24968;0;4;3513;2.220446E-15;;
2743;2;79911;5;23153;0;4;19676;5.329071E-15;;
2745;2;896105;5;463;0;3;991395;3.362889E-06;;
2747;3;60132;5;69111;0;4;45158;3.143109E-06;;
2749;3;44965;5;66865;0;4;88105;3.338066E-06;;
2751;3;30539;5;63159;0;4;10723;6.684716E-06;;
2753;3;21092;5;5746;0;4;84064;4.923351E-06;;
2755;3;16063;5;8146;0;4;73022;3.276114E-06;;
2757;3;10856;5;130958;0;4;116837;3.27255E-06;;
2759;3;542;5;162973;0;4;13894;4.762279E-07;;
2761;3;943;5;152556;0;4;144717;2.857367E-07;;
2763;2;998648;5;141772;0;4;145951;9.524558E-08;;
2765;2;995669;5;135764;0;4;145974;5.329071E-15;;
2767;3;1078;5;314851;0;4;147351;5.329071E-15;;
2769;3;26014;5;31497;0;4;194013;3.263838E-06;;
2771;3;40596;5;314775;0;4;177458;3.262796E-06;;
2773;3;45654;5;275425;0;4;1632;5.329071E-15;;
2775;3;50487;5;229712;0;4;164974;5.329071E-15;;
2777;3;55914;5;179663;0;4;166469;5.329071E-15;;
2779;3;83436;5;160076;0;4;185382;2.220446E-15;;
2781;3;113892;5;256871;0;4;192385;5.329071E-15;;
2783;3;1168;5;323926;0;4;213799;5.329071E-15;;
2785;3;119734;5;224618;0;4;214906;5.329865E-06;;
2787;3;191016;5;396946;0;4;28055;5.264928E-06;;
2789;3;183475;5;420631;0;4;280167;3.653866E-05;;
2791;3;146929;5;43323;0;4;286724;3.610924E-05;;
2793;3;104752;5;236563;0;4;292536;4.01084E-05;;
2795;3;57106;5;169177;0;4;301462;8.338202E-05;;
2797;3;9483;5;179666;0;4;301239;0;1464081;
2799;2;96405;5;187895;0;4;312654;0;1465412;
2801;2;918615;5;193134;0;4;32898;0;1466744;
2803;2;87318;5;19839;0;4;345306;0;1468076;
2805;2;827748;5;215759;0;4;331023;0;1484962;
2807;2;765263;5;234856;0;4;315838;0;1661003;
2809;2;717553;5;245642;0;4;317939;0;1671346;
2811;2;67042;5;256305;0;4;34506;0;1686034;
2813;2;62387;5;264502;0;4;361399;0;170507;
2815;2;649718;5;272357;0;4;367986;0;1655722;
2817;2;694782;5;278382;0;4;392858;0;1769187;
2819;2;691405;5;280841;0;4;456583;0;1777184;
2821;2;688049;5;278081;0;4;4148;0;1785181;
2823;2;686317;5;287348;0;4;388343;0;1790935;
2825;2;685776;5;557471;0;4;394568;0;1795668;
2827;2;685346;5;582235;0;4;413788;0;225535;
2829;2;643282;5;543341;0;4;448273;0;1626461;
2831;2;613752;5;516304;0;4;449439;0;1629257;
2833;2;565174;5;354684;0;4;493676;0;1778444;
2835;2;506638;5;289375;0;4;542303;0;2983699;
2837;2;464598;5;285795;0;4;560297;0;2934779;
2839;2;389054;5;285711;0;4;569706;0;8112682;
2841;2;389647;5;239702;0;4;338617;0;2664602;
2843;2;390731;5;239305;0;4;365706;0;2627138;
2845;2;396436;5;244736;0;4;427834;0;2621281;
2847;2;396569;5;16865;0;4;396783;0;2515684;
2849;2;395733;5;179001;0;4;367472;0;238364;
2851;2;396116;5;265482;0;4;306791;0;2626924;
2853;2;39669;5;279141;0;4;267747;0;2643032;
2855;2;397428;5;290636;0;4;27528;0;2664216;
2857;2;529097;5;300097;0;4;279145;0;26854;
2859;2;685218;5;303632;0;4;387547;0;2706583;
2861;2;841175;5;294099;0;4;430501;0;2727767;
2863;2;876313;5;268947;0;4;429158;0;2731271;
2865;2;913068;5;259935;0;4;427819;0;2726223;
2867;2;95361;5;276038;0;4;409844;0;2485221;
2869;2;999989;5;301347;0;4;368819;0;1521597;
2871;3;42216;5;311811;0;4;354702;0;1543742;
2873;3;80273;5;261237;0;4;350121;0;1561229;
2875;3;129339;5;220957;0;4;366899;0;1538294;
2877;3;178285;5;216646;0;4;361853;0;1694071;
2879;3;226449;5;151418;0;4;353779;0;1688866;
2881;3;274087;5;101581;0;4;275108;0;1471049;
2883;3;319447;5;193176;0;4;251626;0;1236329;
2885;3;367179;5;214941;0;4;228891;0;1245128;
2887;3;415471;5;206111;0;4;198398;0;1281192;
2889;3;455856;5;196648;0;4;218285;0;1317255;
2891;3;488436;5;18441;0;4;221174;0;1353319;
2893;3;522101;5;171269;0;4;234896;0;1643052;
2895;3;55517;5;162935;0;4;301928;0;163574;
2897;3;871486;5;150044;0;4;320276;0;1574364;
2899;3;970645;5;108214;0;4;300705;0;1383281;
2901;4;70607;5;365753;0;4;31686;0;1446823;
2903;4;171014;5;358963;0;4;313591;0;1480276;
2905;4;270715;5;308805;0;4;308996;0;149564;
2907;4;351893;5;284266;0;4;294396;0;1503645;
2909;4;414275;5;269523;0;4;268414;0;1502251;
2911;4;476648;5;259839;0;4;242432;0;1504639;
2913;4;538333;5;251931;0;4;255856;0;1811249;
2915;4;599946;5;226322;0;4;234748;0;1505634;
2917;4;665852;5;46983;0;4;230571;0;1577981;
2919;4;716204;4;895587;0;4;198413;0;1809675;
2921;4;750223;4;958294;0;4;187261;0;1393302;
2923;4;818294;4;923149;0;4;164728;5.250612E-05;;
2925;4;855799;4;920777;0;4;120528;0;1499849;
2927;4;862315;4;934405;0;4;148744;6.01316E-05;;
2929;4;855587;4;934906;0;4;71085;4.522491E-05;;
2931;4;847847;4;922966;0;4;19752;3.189082E-05;;
2933;4;789021;4;972026;0;4;27222;3.09999E-05;;
2935;4;717402;5;6513;0;4;365;1.332726E-05;;
2937;4;635603;4;963589;0;4;39665;2.345848E-05;;
2939;4;557111;4;981528;0;4;14492;2.799341E-05;;
2941;4;481925;4;995475;0;3;989877;8.144965E-06;;
2943;4;416877;5;44023;0;4;23941;7.858795E-06;;
2945;4;277318;5;33295;0;3;986961;7.572483E-06;;
2947;4;103178;5;3325;0;3;928883;5.212883E-06;;
2949;4;108231;4;998225;0;3;928456;5.211666E-06;;
2951;4;113285;4;991624;0;3;896833;2.220446E-15;;
2953;4;118338;4;983523;0;3;894541;2.220446E-15;;
2955;4;123955;4;968415;0;3;856657;2.220446E-15;;
2957;4;130556;4;875985;0;3;823343;2.220446E-15;;
2959;4;136801;4;852173;0;3;838134;2.220446E-15;;
2961;4;205629;5;5753;0;3;866786;3.090893E-07;;
2963;4;224412;5;116834;0;3;877332;3.090893E-07;;
2965;4;243114;5;189432;0;3;881798;3.090893E-07;;
2967;4;234878;5;117549;0;3;882048;1.030298E-07;;
2969;4;218969;5;69314;0;3;806846;2.220446E-15;;
2971;4;203711;4;888246;0;3;805532;2.220446E-15;;
2973;4;197976;4;781451;0;3;785896;2.220446E-15;;
2975;4;192242;4;746256;0;3;788142;2.220446E-15;;
2977;4;185914;4;743177;0;3;776561;2.220446E-15;;
2979;4;15749;4;724921;0;3;760922;2.220446E-15;;
2981;4;111985;4;696397;0;3;73569;0;;
2983;4;92813;4;676783;0;3;717413;0;;
2985;4;73783;4;521182;0;3;710444;0;;
2987;3;987957;4;424415;0;3;707113;0;;
2989;3;951947;4;397505;0;3;701433;0;;
2991;3;915938;4;38516;0;3;666086;0;;
2993;3;893134;4;373525;0;3;694399;0;;
2995;3;882065;4;513422;0;3;661524;0;;
2997;3;869426;4;541933;0;3;647079;0;;
2999;3;856733;4;569812;0;3;597185;0;;
3001;3;844041;4;597691;0;3;586055;0;;
3003;3;831298;4;618253;0;3;623929;0;;
3005;3;818499;4;452075;0;3;613467;0;;
3007;3;805694;4;292761;0;3;563283;0;;
3009;3;761055;4;26545;0;3;552292;0;;
3011;3;715831;4;504961;0;3;596504;0;;
3013;3;670022;4;43948;0;3;548746;0;;
3015;3;551814;4;42417;0;3;533687;0;;
3017;3;482055;4;409568;0;3;521777;0;;
3019;3;460738;4;395783;0;3;48744;0;;
3021;3;4394;4;382186;0;3;38087;0;;
3023;3;416829;4;35518;0;3;382352;0;;
3025;3;393066;4;314578;0;3;292812;0;;
3027;3;369197;4;250789;0;3;202966;0;;
3029;3;33379;4;250194;0;3;195631;0;;
3031;3;286502;4;248942;0;3;195626;0;;
3033;3;258611;4;248211;0;3;133955;0;;
3035;3;214223;4;247479;0;3;125154;0;;
3037;3;153339;4;246748;0;3;114757;0;;
3039;3;125257;4;246439;0;3;10983;0;;
3041;3;97491;4;234232;0;3;73783;0;;
3043;3;70097;4;209122;0;3;18752;0;;
3045;3;39004;4;183254;0;3;182;0;;
3047;3;11549;4;157701;0;3;17705;0;;
3049;2;987738;4;132406;0;3;7067;0;;
3051;2;963876;4;93636;0;2;985037;0;;
3053;2;939824;4;80628;0;2;966261;0;;
3055;2;915606;4;56799;0;2;961772;0;;
3057;2;760458;4;25306;0;2;935388;0;;
3059;2;605476;4;6932;0;2;894346;0;;
3061;2;450659;4;1807;0;2;869753;0;;
3063;2;416661;3;997212;0;2;856153;0;;
3065;2;379598;3;995191;0;2;828429;0;;
3067;2;339471;3;995744;0;2;819402;0;;
3069;2;294127;3;990395;0;2;793164;0;;
3071;2;252984;3;987587;0;2;744412;0;;
3073;2;216041;3;987321;0;2;743938;0;;
3075;2;16812;3;986993;0;2;686325;0;;
3077;2;120333;3;986238;0;2;655343;0;;
3079;2;73248;3;985837;0;2;596009;0;;
3081;2;26163;3;984907;0;2;574754;0;;
3083;1;979079;3;972866;0;2;540966;0;;
3085;1;931987;3;959153;0;2;487483;0;;
3087;1;884903;3;945504;0;2;492096;0;;
3089;1;845726;3;934626;0;2;472431;0;;
3091;1;816589;3;920039;0;2;504874;0;;
3093;1;783678;3;818763;0;2;49887;0;;
3095;1;750537;3;790393;0;2;502862;0;;
3097;1;433344;3;721985;0;2;470353;0;;
3099;1;334047;3;680666;0;2;444161;0;;
3101;1;234303;3;585987;0;2;298433;0;;
3103;1;134091;3;471411;0;2;224992;0;;
3105;1;34558;3;245795;0;2;208074;0;;
3107;0;9538323;3;204876;0;2;197171;0;;
3109;0;8919128;3;162361;0;2;178862;0;;
3111;0;8299975;3;119846;0;2;17785;0;;
3113;0;7680809;3;77358;0;2;17656;0;;
3115;0;7061623;3;33612;0;2;150675;0;;
3117;0;639384;2;937179;0;2;135263;0;;
3119;0;5888582;2;899344;0;2;81184;0;;
3121;0;5546005;2;738223;0;2;34748;0;;
3123;0;4862378;2;684163;0;2;30692;0;;
3125;0;4472005;2;638783;0;1;990906;0;;
3127;0;4373654;2;646738;0;1;935487;0;;
3129;0;4351809;2;655879;0;1;902602;0;;
3131;0;4329964;2;60526;0;1;904761;0;;
3133;0;4297937;2;538672;0;1;908089;0;;
3135;0;426645;2;545948;0;1;896696;0;;
3137;0;4236045;2;705785;0;1;895973;0;;
3139;0;4140548;2;580827;0;1;894096;0;;
3141;0;3982559;2;529419;0;1;849545;0;;
3143;0;375038;2;415718;0;1;776247;0;;
3145;0;3444011;2;337446;0;1;755997;0;;
3147;0;3373677;2;327995;0;1;741944;0;;
3149;0;3303343;2;318544;0;1;734121;0;;
3151;0;3233009;2;309093;0;1;680074;0;;
3153;0;3162675;2;299642;0;1;664324;0;;
3155;0;3092341;2;290191;0;1;661135;0;;
3157;0;3022007;2;285595;0;1;660773;0;;
3159;0;2955734;2;21649;0;1;612849;0;;
3161;0;2252259;1;990878;0;1;540822;0;;
3163;0;204931;1;980719;0;1;438156;0;;
3165;0;1847131;1;951059;0;1;392281;0;;
3167;0;172657;1;79407;0;1;359606;0;;
3169;0;1687627;1;786711;0;1;287799;0;;
3171;0;1648702;1;785936;0;1;287956;0;;
3173;0;1609777;1;785161;0;1;288114;0;;
3175;0;1570852;1;784386;0;1;267446;0;;
3177;0;1531926;1;783611;0;1;253994;0;;
3179;0;1493001;1;782836;0;1;245791;0;;
3181;0;1454076;1;782061;0;1;222354;0;;
3183;0;141515;1;781286;0;1;19728;0;;
3185;0;1376225;1;78051;0;1;198012;0;;
3187;0;13373;1;779735;0;1;198831;0;;
3189;0;1298375;1;77896;0;1;199649;0;;
3191;0;125945;1;778185;0;1;200467;0;;
3193;0;1220413;1;773638;0;1;180006;0;;
3195;0;1195481;1;765643;0;1;121073;0;;
3197;0;1186686;1;673723;0;1;93502;0;;
3199;0;1178477;1;62522;0;1;87954;0;;
3201;0;1170268;1;593487;0;1;86392;0;;
3203;0;116258;1;57674;0;1;74231;0;;
3205;0;1155415;1;57379;0;1;67313;0;;
3207;0;1148249;1;506288;0;1;63799;0;;
3209;0;1141084;1;451695;0;1;25697;0;;
3211;0;1133922;1;315854;0;0;9932303;0;;
3213;0;1126761;1;317733;0;0;994216;0;;
3215;0;11196;1;319613;0;0;9952017;0;;
3217;0;1112439;1;321493;0;0;9929526;0;;
3219;0;1105277;1;323373;0;0;9909887;0;;
3221;0;1098116;1;325253;0;0;9901626;0;;
3223;0;1090955;1;327132;0;0;9870168;0;;
3225;0;1083793;1;329012;0;0;9862189;0;;
3227;0;1076632;1;330892;0;0;9863881;0;;
3229;0;1069471;1;332772;0;0;9865573;0;;
3231;0;106231;1;334652;0;0;9867265;0;;
3233;0;1055148;1;336531;0;0;9868957;0;;
3235;0;1047987;1;338411;0;0;9870649;0;;
3237;0;1040826;1;340291;0;0;9872341;0;;
3239;0;1033665;1;342171;0;0;9871945;0;;
3241;0;1026503;1;344051;0;0;9857759;0;;
3243;0;1019342;1;34593;0;0;9843574;0;;
3245;0;1012181;1;34781;0;0;9829388;0;;
3247;0;100502;1;34969;0;0;9815202;0;;
3249;0;9978583;1;35157;0;0;9801016;0;;
3251;0;9906971;1;353449;0;0;9786831;0;;
3253;0;9835359;1;355329;0;0;9746371;0;;
3255;0;9763746;1;357209;0;0;9751706;0;;
3257;0;9692133;1;359089;0;0;9744273;0;;
3259;0;962052;1;360969;0;0;9730088;0;;
3261;0;9548908;1;362848;0;0;9715902;0;;
3263;0;9477296;1;364728;0;0;9701716;0;;
3265;0;9405683;1;366608;0;0;968753;0;;
3267;0;933407;1;367688;0;0;9693068;0;;
3269;0;9262457;1;370368;0;0;9700197;0;;
3271;0;9190845;1;372247;0;0;9707326;0;;
3273;0;9119233;1;374127;0;0;9714455;0;;
3275;0;904762;1;377036;0;0;9721584;0;;
3277;0;8976007;1;383542;0;0;9728713;0;;
3279;0;8904395;1;382224;0;0;9737074;0;;
3281;0;8832783;1;382799;0;0;9749296;0;;
3283;0;876117;1;383526;0;0;9766091;0;;
3285;0;8689557;1;385406;0;0;9790983;0;;
3287;0;8617944;1;387286;0;0;9815875;0;;
3289;0;8546332;1;389165;0;0;9798182;0;;
3291;0;8248867;1;310068;0;0;906521;0;;
3293;0;8225756;1;205711;0;0;8515983;0;;
3295;0;8221861;1;161723;0;0;8342364;0;;
3297;0;8217966;1;14966;0;0;7951416;0;;
3299;0;8214071;1;140384;0;0;7660751;0;;
3301;0;8210175;1;106205;0;0;7633723;0;;
3303;0;820628;1;72026;0;0;7698569;0;;
3305;0;8202385;1;37847;0;0;7769253;0;;
3307;0;9442229;1;46706;0;0;7807199;0;;
3309;0;1192581;1;140215;0;0;8334412;0;;
3311;0;144094;1;16732;0;0;8584147;0;;
3313;0;1689355;1;167899;0;0;8854576;0;;
3315;0;1945189;1;178087;0;0;9552572;0;;
3317;0;2208379;1;272516;0;0;9898997;0;;
3319;0;2389852;1;351149;0;0;9957393;0;;
3321;0;2554346;1;400424;0;1;1587;0;;
3323;0;2701977;1;385305;0;0;9954967;0;;
3325;0;2849608;1;405897;0;0;9938672;0;;
3327;0;2997239;1;434106;0;1;456;0;;
3329;0;314487;1;458057;0;1;1872;0;;
3331;0;3292501;1;456932;0;1;16276;0;;
3333;0;3440077;1;453582;0;1;15585;0;;
3335;0;3586574;1;418076;0;0;9909913;0;;
3337;0;3731988;1;300636;0;0;9750484;0;;
3339;0;3880005;1;303053;0;0;975962;0;;
3341;0;4028021;1;30547;0;0;9800687;0;;
3343;0;4176037;1;316434;0;0;9804752;0;;
3345;0;4324053;1;367487;0;0;9787025;0;;
3347;0;447207;1;379599;0;0;979616;0;;
3349;0;463868;1;393606;0;0;9960918;0;;
3351;0;480529;1;446721;0;1;19064;0;;
3353;0;4971901;1;686864;0;1;58857;0;;
3355;0;5153253;1;828231;0;1;17924;0;;
3357;0;5364413;1;943783;0;1;225993;0;;
3359;0;5563247;1;986895;0;1;253008;0;;
3361;0;5755794;2;104334;0;1;376776;0;;
3363;0;5955176;2;188526;0;1;51116;0;;
3365;0;6161394;2;276682;0;1;543792;0;;
3367;0;6310949;2;291303;0;1;623074;0;;
3369;0;643548;2;299811;0;1;641176;0;;
3371;0;6534986;2;336766;0;1;658718;0;;
3373;0;6634493;2;450801;0;1;683507;0;;
3375;0;6734;2;569901;0;1;752531;0;;
3377;0;6833506;2;681082;0;1;782447;0;;
3379;0;6957226;2;737257;0;1;790862;0;;
3381;0;7078674;2;760012;0;1;79864;0;;
3383;0;7161752;2;764635;0;1;892423;0;;
3385;0;7376102;2;788826;0;1;958224;0;;
3387;0;7449831;2;80916;0;1;965539;0;;
3389;0;7515974;2;814345;0;1;984191;0;;
3391;0;7574714;2;873356;0;2;60561;0;;
3393;0;7834818;2;958227;0;2;122398;0;;
3395;0;7910854;2;968536;0;2;180564;0;;
3397;0;7986889;3;103337;0;2;198374;0;;
3399;0;8070154;3;147233;0;2;227877;0;;
3401;0;8300349;3;160408;0;2;354465;0;;
3403;0;8372777;3;162838;0;2;375893;0;;
3405;0;8445204;3;224081;0;2;410657;0;;
3407;0;8517631;3;346467;0;2;454402;0;;
3409;0;8664462;3;425663;0;2;481367;0;;
3411;0;8822035;3;486427;0;2;517318;0;;
3413;0;8990351;3;514457;0;2;546685;0;;
3415;0;9030262;3;515942;0;2;555703;0;;
3417;0;9070173;3;517428;0;2;572842;0;;
3419;0;9110084;3;518913;0;2;593553;0;;
3421;0;914229;3;519332;0;2;600447;0;;
3423;0;9174497;3;519751;0;2;601868;0;;
3425;0;9206703;3;520169;0;2;601849;0;;
3427;0;9238909;3;520588;0;2;60183;0;;
3429;0;9271115;3;521007;0;2;601812;0;;
3431;0;9303321;3;521426;0;2;606381;0;;
3433;0;9335527;3;521845;0;2;641813;0;;
3435;0;9364203;3;51888;0;2;648482;0;;
3437;0;9389349;3;513587;0;2;654926;0;;
3439;0;9414493;3;508295;0;2;661369;0;;
3441;0;9439638;3;503002;0;2;667813;0;;
3443;0;9464784;3;497709;0;2;674257;0;;
3445;0;9489928;3;492416;0;2;6807;0;;
3447;0;9515074;3;487123;0;2;687144;0;;
3449;0;9540219;3;48183;0;2;697567;0;;
3451;0;9565364;3;476537;0;2;719816;0;;
3453;0;9590509;3;471245;0;2;742065;0;;
3455;0;9615654;3;465952;0;2;751113;0;;
3457;0;9640799;3;460873;0;2;750977;0;;
3459;0;9665944;3;455549;0;2;750841;0;;
3461;0;9691089;3;496342;0;2;750705;0;;
3463;0;9716234;3;528127;0;2;750569;0;;
3465;0;9741379;3;528546;0;2;762136;0;;
3467;0;9766524;3;528964;0;2;781976;0;;
3469;0;9791669;3;538164;0;2;785238;0;;
3471;0;995099;3;570189;0;2;825867;0;;
3473;1;24449;3;571811;0;2;854311;0;;
3475;1;51751;3;573384;0;2;889092;0;;
3477;1;77006;3;574985;0;2;910654;0;;
3479;1;102261;3;576567;0;2;926009;0;;
3481;1;131541;3;618652;0;2;931554;0;;
3483;1;160175;3;734555;0;2;976255;0;;
3485;1;187977;3;836375;0;2;988881;0;;
3487;1;239096;3;901971;0;3;4258;0;;
3489;1;274855;3;967563;0;3;42854;0;;
3491;1;295254;3;997697;0;3;47863;0;;
3493;1;300553;3;997373;0;3;48136;0;;
3495;1;305852;3;99705;0;3;4841;0;;
3497;1;311151;3;996726;0;3;48683;0;;
3499;1;31645;3;996402;0;3;48956;0;;
3501;1;321749;3;996079;0;3;4923;0;;
3503;1;327048;3;995755;0;3;49503;0;;
3505;1;332347;3;995432;0;3;49777;0;;
3507;1;325208;3;986813;0;3;48521;0;;
3509;1;305632;3;961244;0;3;35852;0;;
3511;1;286056;3;881753;0;3;17841;0;;
3513;1;266475;3;879427;0;3;17481;0;;
3515;1;246152;3;847113;0;2;994039;0;;
3517;1;225093;3;802911;0;2;959676;0;;
3519;1;212206;3;740962;0;2;93559;0;;
3521;1;201017;3;669482;0;2;915247;0;;
3523;1;191514;3;65722;0;2;903444;0;;
3525;1;182012;3;644957;0;2;9031;0;;
3527;1;172509;3;632695;0;2;902023;0;;
3529;1;163006;3;620433;0;2;897616;0;;
3531;1;153504;3;608171;0;2;893208;0;;
3533;1;144001;3;595908;0;2;8888;0;;
3535;1;134498;3;583646;0;2;884392;0;;
3537;1;124995;3;571384;0;2;879985;0;;
3539;1;115493;3;560853;0;2;875577;0;;
3541;1;10599;3;556301;0;2;872643;0;;
3543;1;96487;3;551748;0;2;879948;0;;
3545;1;86985;3;547195;0;2;889013;0;;
3547;1;77482;3;542642;0;2;886756;0;;
3549;1;6612;3;502943;0;2;863772;0;;
3551;1;54757;3;487458;0;2;848823;0;;
3553;1;66581;3;474935;0;2;800547;0;;
3555;1;77463;3;371914;0;2;797743;0;;
3557;1;62711;3;373064;0;2;783976;0;;
3559;1;48402;3;356941;0;2;726445;0;;
3561;1;34721;3;275279;0;2;661645;0;;
3563;1;20357;3;84683;0;2;620029;0;;
3565;1;5309;3;59605;0;2;6236;0;;
3567;0;9959278;2;982852;0;2;622411;0;;
3569;0;9890487;2;968452;0;2;613528;0;;
3571;0;9846721;2;948432;0;2;570836;0;;
3573;0;9802955;2;928412;0;2;536824;0;;
3575;0;9759188;2;928016;0;2;526171;0;;
3577;0;9715422;2;930001;0;2;492099;0;;
3579;0;9647442;2;92051;0;2;396776;0;;
3581;0;9581736;2;917651;0;2;388506;0;;
3583;0;9554398;2;923779;0;2;363754;0;;
3585;0;9381566;2;836851;0;2;282799;0;;
3587;0;9335135;2;827712;0;2;25667;0;;
3589;0;9296289;2;818316;0;2;220062;0;;
3591;0;9264846;2;783202;0;2;177633;0;;
3593;0;903204;2;747152;0;2;148167;0;;
3595;0;8983301;2;711668;0;2;1071;0;;
3597;0;8934563;2;652155;0;2;82103;0;;
3599;0;8878596;2;505454;0;2;9461;0;;
3601;0;8675697;2;449426;0;1;997668;0;;
3603;0;8630568;2;369835;0;1;9943;0;;
3605;0;8585438;2;367647;0;1;968444;0;;
3607;0;8540307;2;328349;0;1;893785;0;;
3609;0;8420774;2;320466;0;1;859434;0;;
3611;0;8290498;2;309327;0;1;809638;0;;
3613;0;814948;2;297503;0;1;801857;0;;
3615;0;8136866;2;315776;0;1;780683;0;;
3617;0;8124252;2;302183;0;1;77888;0;;
3619;0;8111638;2;315491;0;1;771821;0;;
3621;0;8106729;2;341911;0;1;785102;0;;
3623;0;810182;2;375145;0;1;820792;0;;
3625;0;8096911;2;373328;0;1;810639;0;;
3627;0;8092002;2;371511;0;1;798519;0;;
3629;0;8087094;2;369693;0;1;798164;0;;
3631;0;8082185;2;367876;0;1;796709;0;;
3633;0;8077276;2;323652;0;1;781833;0;;
3635;0;8075898;2;314058;0;1;761403;0;;
3637;0;8078049;2;31354;0;1;759443;0;;
3639;0;8080202;2;313021;0;1;757484;0;;
3641;0;8082354;2;312502;0;1;755524;0;;
3643;0;8084506;2;303825;0;1;753565;0;;
3645;0;8086659;2;289123;0;1;751605;0;;
3647;0;8088811;2;27442;0;1;749646;0;;
3649;0;8090963;2;268416;0;1;743496;0;;
3651;0;8093115;2;263524;0;1;736646;0;;
3653;0;8095267;2;258633;0;1;736187;0;;
3655;0;809742;2;253741;0;1;735727;0;;
3657;0;8099572;2;246669;0;1;734582;0;;
3659;0;8101724;2;231919;0;1;715424;0;;
3661;0;8103876;2;214598;0;1;714697;0;;
3663;0;8106028;2;202041;0;1;715202;0;;
3665;0;8108181;2;201332;0;1;715706;0;;
3667;0;8110333;2;200624;0;1;689381;0;;
3669;0;8112485;2;199914;0;1;684814;0;;
3671;0;7980462;2;190065;0;1;645928;0;;
3673;0;7714263;2;171075;0;1;570027;0;;
3675;0;7468538;2;131304;0;1;497313;0;;
3677;0;7243286;2;50532;0;1;458862;0;;
3679;0;7018033;2;114;0;1;365147;0;;
3681;0;6752524;1;901913;0;1;290571;0;;
3683;0;6493483;1;751057;0;1;156235;0;;
3685;0;6242765;1;74366;0;1;102605;0;;
3687;0;5758871;1;617864;0;1;45754;0;;
3689;0;5428577;1;399585;0;0;9718496;0;;
3691;0;5251881;1;398261;0;0;971893;0;;
3693;0;5226189;1;390189;0;0;9718323;0;;
3695;0;5200498;1;382118;0;0;969808;0;;
3697;0;5174806;1;374046;0;0;965436;0;;
3699;0;5149114;1;35911;0;0;9610639;0;;
3701;0;5123423;1;340147;0;0;9583717;0;;
3703;0;5097731;1;330166;0;0;9578786;0;;
3705;0;5072039;1;330169;0;0;9573855;0;;
3707;0;5046347;1;330172;0;0;9568924;0;;
3709;0;5020656;1;325616;0;0;9563994;0;;
3711;0;4994964;1;317545;0;0;9559063;0;;
3713;0;4969272;1;309473;0;0;9554132;0;;
3715;0;4943581;1;302709;0;0;9466051;0;;
3717;0;4917889;1;299927;0;0;9454482;0;;
3719;0;4892197;1;297146;0;0;9444802;0;;
3721;0;4866506;1;294364;0;0;9435121;0;;
3723;0;4840814;1;291582;0;0;9425442;0;;
3725;0;4815122;1;288801;0;0;9415762;0;;
3727;0;4789431;1;286019;0;0;93466;0;;
3729;0;4763739;1;283238;0;0;9372416;0;;
3731;0;4738047;1;280456;0;0;9386722;0;;
3733;0;4712356;1;277675;0;0;9377042;0;;
3735;0;4686664;1;274893;0;0;9367362;0;;
